Index,Expanded,Time,Length
0,166812,51379.822,3343.0693347083
1,41339,11341.006,2493.9129137347068
2,218895,67348.018,3619.1597385039154
3,144610,43832.53,2800.0794359760694
4,7246,1896.9199999999998,514.3624817342642
5,173288,53052.047,2669.6530291048803
6,145148,45540.017,1972.2367235014628
7,134253,42941.132000000005,2328.599205235724
8,177951,56240.029,1892.3666658163736
9,127863,38540.397,1834.739248818404
10,163122,48421.266,3839.3607486306896
11,14171,4087.1959999999995,592.7716446627539
12,18080,5304.908,907.4823227814092
13,82243,24643.956,1869.4671708797616
14,94042,28943.939,2349.1727983645283
15,253904,83824.72099999999,3971.6155826266295
16,99399,28513.785,2824.635785162175
17,133344,41973.307,1638.8986283848374
18,224013,66714.78,3755.4318164425567
19,176687,54060.352,2281.52813742386
20,207466,64302.477999999996,3134.228714274736
21,1636,431.931,209.8111831820431
22,199548,60386.899999999994,2577.2926394116703
23,18970,5762.240000000001,496.0609665440989
24,83674,24992.629999999997,1785.692567624178
25,73207,22148.019,1430.0163773909285
26,197520,63890.28,1838.047906683506
27,18444,5158.773,655.3452377915612
28,205339,63311.884999999995,2293.587011926905
29,182867,56151.94,2923.701802340155
30,8,3.278,4.82842712474619
31,211697,64880.473,3745.833836696109
32,93799,27469.804,3107.944443027274
33,182559,112192.313,2627.75353416827
34,164741,62813.752,2347.2682527940337
35,4696,2613.587,300.651803615609
36,21342,13182.636,1068.7909806465111
37,182528,56244.200999999994,2948.2337649086217
38,54314,16041.475999999999,2044.2905473706253
39,100271,35265.297,3558.981022953726
40,214606,64868.823000000004,2847.878425849296
41,225260,68721.333,3570.721138323903
42,89067,26355.38,2515.653029104881
43,3821,1017.8480000000001,291.7228714274746
44,83719,25775.44,1163.7077195258264
45,109578,34034.912,1516.7442994522864
46,231557,69945.532,3127.7139956489737
47,14036,3844.5190000000002,741.7716446627543
48,60530,17860.816,1650.271211386868
49,203071,62749.598,2517.126117170302
50,204378,62018.932,4010.272436876119
51,111328,33081.375,2756.037805415729
52,31000,10069.914999999999,699.3158005400385
53,2463,709.57,163.32590180780454
54,231277,72589.577,3616.6033893178105
55,201677,62142.389,3465.939392393384
56,50773,14976.443,1356.5899705197355
57,225805,69534.65199999999,4073.385135248327
58,66194,21070.307,899.269119345813
59,122985,37456.038,1776.1828996322995
60,203939,63362.512,3149.956636336092
61,578,163.189,77.4558441227157
62,216581,65136.68199999999,3136.0571413994803
63,202682,61656.404,2329.226622233692
64,13150,3754.2870000000003,537.7766952966373
65,54214,16143.312999999998,1281.2468247692275
66,11123,3029.263,641.5168106668151
67,186623,58602.299,2633.309883354373
68,41469,13059.362000000001,670.4163056034268
69,120654,35318.277,3722.975972319843
70,29356,8655.473,883.5706345359775
71,195142,76134.09,2856.346463280829
72,113243,34842.939,1653.1828996322995
73,179503,55968.484,2896.63073452829
74,231059,71859.344,4045.799348810701
75,144721,45235.843,1550.371716450256
76,190212,61133.82,2365.3443712397843
77,215832,68444.986,2756.706852974043
78,110450,32689.082999999995,2719.5230867899686
79,126588,40900.835999999996,1392.6021638285547
80,211211,64875.765999999996,2604.481456229627
81,219651,71673.613,3169.128209211345
82,47262,27185.585,815.4701294725895
83,31716,12248.222,2212.704760932996
84,23331,20404.624,1104.1808075912445
85,143634,55976.513,3420.1109652686387
86,209397,68364.48300000001,2912.2632021601457
87,15053,4309.8910000000005,789.416305603427
88,7289,2111.285,395.14927829866747
89,135866,44210.005000000005,1580.5554826343298
90,153694,51907.232,2369.942350986228
91,141534,44566.426,1945.378859125194
92,195864,94018.249,2901.233764908621
93,160559,52565.762,1525.283404695688
94,42,12.416,16.65685424949238
95,91411,29449.472,1615.8569978244952
96,121344,39215.308,1717.3544725075535
97,220834,67371.496,3360.8510806388167
98,226220,68341.991,3323.613490585584
99,256070,78106.387,3800.745524941543
100,184884,57287.387,2781.263202160146
101,31633,9988.671999999999,846.683332908186
102,188063,77627.126,2566.782971419794
103,164299,51295.878000000004,3080.4713549618536
104,136374,41441.417,2768.04999872455
105,41145,11357.324,1978.663130372656
106,38334,11052.213,1888.248916810283
107,128303,39176.562,3155.240907583556
108,222003,68664.0,3132.77287015202
109,131705,40092.243,2170.2611101191
110,163330,91633.277,2594.3098833543745
111,121857,36778.601,1846.19509294112
112,55745,16624.803,1067.121933088199
113,125430,35353.834,4005.958728377134
114,57069,16874.628999999997,1366.7615433949895
115,242513,72661.962,3266.169839771687
116,62633,18172.994,2195.758584802159
117,26239,7387.840999999999,1331.6904755831238
118,131418,46552.596,2339.800215362499
119,4150,1184.081,250.81118318204315
120,94043,28671.246,1824.7098115668807
121,112855,33926.956,2702.4520189781024
122,216541,76193.074,4076.083620058163
123,79372,31115.161,2180.9301576774133
124,91772,27069.677,2228.5575746753816
125,241510,81373.148,3801.6744571296754
126,253782,77142.651,3761.147545195098
127,27918,8095.031000000001,867.4701294725896
128,107437,31871.456,2849.0499987245494
129,2734,761.62,204.9238815542512
130,53040,16771.787,716.7716446627542
131,210318,65166.951,2891.518036156083
132,220357,68808.19,3369.897761833043
133,121718,39012.115,1907.5920625607905
134,26086,7705.811,572.788888605457
135,149281,45381.118,2533.7535341682706
136,17604,5078.74,574.3330444827412
137,169982,51434.202999999994,3014.204327657096
138,108897,32541.635,2638.209378290986
139,934,262.37100000000004,90.28427124746187
140,46980,15555.44,827.1564209736046
141,139372,66590.936,2343.415439051648
142,252853,76879.698,3779.97597231984
143,43275,14025.988,882.1269837220818
144,11538,3386.683,428.19090885901016
145,174161,54129.534,2688.1505037879383
146,116632,36792.363000000005,1516.401153701779
147,72037,21678.524,1947.089537243848
148,203512,62952.861,3578.390185882217
149,231577,75975.078,3977.3678913056247
150,184544,56345.28,2298.4570696119927
151,254354,77699.556,3769.946535068321
152,8590,2328.2189999999996,457.53405460951785
153,169052,52414.968,1885.4082963767164
154,257909,77682.91100000001,3897.846030004931
155,142828,43178.975,3062.731239591674
156,139649,42015.757,2167.0895372438463
157,81311,24579.035,1802.3372285648504
158,225814,70190.68000000001,3607.662263820856
159,72085,20406.79,2830.9789309126827
160,232570,70658.569,3112.388093841168
161,4526,1307.874,206.09545442950505
162,115173,33822.738,3576.436867076441
