exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
0;AnyaSearch;48765;45612;6017;6213;12121;(103,292);(271,178);425.97265472;400.76317674174993;AR0500SR.map
1;AnyaSearch;4261;4255;905;1041;1935;(239,37);(133,203);220.00714264;207.49137748520047;AR0500SR.map
2;AnyaSearch;12396;4481;2403;2577;4883;(285,144);(29,219);506.58787842;479.1381336363166;AR0500SR.map
3;AnyaSearch;12152;4732;2559;2753;5210;(241,150);(7,220);441.40411224;418.3407198029644;AR0500SR.map
4;AnyaSearch;3934;3931;1927;2126;3964;(254,168);(90,229);399.27416992;374.8230974128245;AR0500SR.map
5;AnyaSearch;19171;19163;5825;5992;11716;(105,210);(253,166);381.54624786;358.8693100451681;AR0500SR.map
6;AnyaSearch;11024;11020;5405;5618;10925;(172,228);(264,167);357.67619018;333.32352212538746;AR0500SR.map
7;AnyaSearch;10164;10158;6402;6638;12845;(6,247);(260,171);484.31580047;456.35130893101143;AR0500SR.map
8;AnyaSearch;3703;1352;601;677;1277;(13,258);(185,167);216.37972565;205.13562154235632;AR0500SR.map
9;AnyaSearch;2090;687;588;728;1315;(247,37);(109,246);266.16147156;254.44351575328926;AR0500SR.map
10;AnyaSearch;3474;3469;1432;1549;2970;(165,72);(134,167);200.7106781;191.24807068545599;AR0500SR.map
11;AnyaSearch;2843;87;4;13;16;(277,34);(209,33);68.41421356;68.00735254367721;AR0500SR.map
12;AnyaSearch;2252;798;578;678;1250;(232,133);(90,253);228.24978332;217.4370413455429;AR0500SR.map
13;AnyaSearch;5170;5165;5012;5235;10151;(168,227);(305,190);372.23253937;346.9324552663953;AR0500SR.map
14;AnyaSearch;1699;555;594;645;1238;(180,233);(8,254);202.58073578;191.95444533847936;AR0500SR.map
15;AnyaSearch;3012;3007;2799;3032;5722;(229,157);(81,192);387.27416992;363.6479025151102;AR0500SR.map
16;AnyaSearch;6522;6517;6032;6261;12155;(21,240);(291,189);472.1442276;445.2971996814076;AR0500SR.map
17;AnyaSearch;1677;1671;1995;2259;4175;(289,149);(63,299);507.02647857;481.1809119740379;AR0500SR.map
18;AnyaSearch;5523;5518;4452;4677;9031;(185,189);(297,192);313.63455963;296.29743579203904;AR0500SR.map
19;AnyaSearch;2590;2569;1912;2125;3964;(210,33);(86,190);276.46298675;260.09199278546134;AR0500SR.map
20;AnyaSearch;3297;68;6;11;16;(44,314);(25,311);20.24264069;19.235384061671343;AR0500SR.map
21;AnyaSearch;2406;2402;2884;3060;5909;(14,263);(300,64);411.03152923;387.941817911385;AR0500SR.map
22;AnyaSearch;1227;1222;1202;1326;2459;(304,186);(154,106);268.20815277;251.7143441397352;AR0500SR.map
23;AnyaSearch;1160;1156;878;968;1845;(100,213);(143,126);149.58073578;144.2603592241655;AR0500SR.map
24;AnyaSearch;12374;2903;2755;2924;5660;(11,304);(295,82);407.5290039;386.1659562737335;AR0500SR.map
25;AnyaSearch;2904;407;670;765;1431;(178,179);(208,27);172.7106781;163.5803906785912;AR0500SR.map
26;AnyaSearch;1274;1264;1146;1201;2316;(248,187);(160,103);295.37972565;273.61150610530785;AR0500SR.map
27;AnyaSearch;1346;1342;633;723;1355;(126,219);(244,54);215.04877319;208.1321069485868;AR0500SR.map
28;AnyaSearch;2194;659;698;848;1545;(261,94);(92,273);285.84776306;271.06018876671646;AR0500SR.map
29;AnyaSearch;2631;130;250;335;584;(169,151);(19,313);235.40411224;228.90620577423957;AR0500SR.map
30;AnyaSearch;4551;4547;6568;6823;13223;(8,237);(245,159);498.1442276;469.37703596072726;AR0500SR.map
31;AnyaSearch;1992;626;901;1020;1920;(78,270);(211,97);231.01933594;224.3106705187768;AR0500SR.map
32;AnyaSearch;1943;1935;1921;2149;3990;(282,142);(86,257);467.74220733;444.19401565617966;AR0500SR.map
33;AnyaSearch;2245;32;6;14;19;(252,115);(245,112);8.24264069;7.615773105863909;AR0500SR.map
34;AnyaSearch;3777;3773;6189;6367;12446;(87,178);(279,188);433.87214966;409.43706548109196;AR0500SR.map
35;AnyaSearch;1600;509;887;963;1849;(62,272);(153,181);156.1076477;149.89239743599836;AR0500SR.map
36;AnyaSearch;1868;63;45;95;139;(16,243);(70,201);71.3969696;68.41052550594829;AR0500SR.map
37;AnyaSearch;4441;787;778;873;1650;(252,20);(186,187);200.13708496;190.60524414951442;AR0500SR.map
38;AnyaSearch;1317;1313;2133;2389;4443;(287,58);(55,218);340.87720032;324.3202176553145;AR0500SR.map
39;AnyaSearch;3668;3664;5794;6036;11702;(40,295);(259,137);414.42849884;395.2773433974015;AR0500SR.map
40;AnyaSearch;3910;3903;6695;6901;13464;(89,305);(256,161);469.8427124;442.08214129848795;AR0500SR.map
41;AnyaSearch;3120;202;353;468;820;(185,152);(64,301);199.119841;192.47215024466303;AR0500SR.map
42;AnyaSearch;1719;1713;2366;2534;4802;(237,150);(49,212);400.09040375;379.2500048969307;AR0500SR.map
43;AnyaSearch;2289;2279;2610;2826;5387;(3,271);(273,35);412.35743103;390.60648667335;AR0500SR.map
44;AnyaSearch;2065;2058;2301;2593;4797;(308,58);(33,230);378.64675293;358.71070331358015;AR0500SR.map
45;AnyaSearch;2476;97;11;18;28;(311,187);(299,179);15.3137085;14.422205101855956;AR0500SR.map
46;AnyaSearch;1250;1246;284;337;618;(246,6);(285,57);79.49747467;73.56466363988535;AR0500SR.map
47;AnyaSearch;6152;6131;3353;3572;6838;(197,86);(291,154);248.55129852;233.74803610248892;AR0500SR.map
48;AnyaSearch;1115;1108;945;1095;2030;(201,111);(193,254);187.16652222;172.32041513318381;AR0500SR.map
49;AnyaSearch;3864;3858;3074;3328;6292;(273,130);(76,177);343.30360718;325.0694213563809;AR0500SR.map
50;AnyaSearch;2367;313;416;490;905;(8,257);(180,178);207.89444427;196.69372038263867;AR0500SR.map
51;AnyaSearch;1712;1706;1440;1597;3009;(187,129);(15,267);258.91883087;246.50029737771615;AR0500SR.map
52;AnyaSearch;12471;4360;6793;7002;13643;(58,305);(305,168);496.09754638;470.50647915913055;AR0500SR.map
53;AnyaSearch;1345;1341;515;646;1160;(213,78);(26,303);313.00209198;300.52599018974854;AR0500SR.map
54;AnyaSearch;4762;4757;5518;5714;11141;(128,257);(292,184);401.07315979;377.9864616914875;AR0500SR.map
55;AnyaSearch;3837;3816;6793;7035;13674;(41,207);(295,159);475.4457428;450.0396989336173;AR0500SR.map
56;AnyaSearch;2274;2268;3015;3243;6149;(297,186);(43,182);455.97265472;427.1073089216028;AR0500SR.map
57;AnyaSearch;1086;1081;1435;1545;2958;(232,246);(8,259);295.7350647;278.74518145061757;AR0500SR.map
58;AnyaSearch;2121;755;1246;1452;2674;(209,32);(20,286);363.75945129;344.6277906064675;AR0500SR.map
59;AnyaSearch;3621;3616;6655;6878;13400;(60,178);(297,158);468.62950897;441.76104119175955;AR0500SR.map
60;AnyaSearch;3505;1341;1449;1566;3014;(107,217);(300,77);282.56349182;265.19418035737357;AR0500SR.map
61;AnyaSearch;1084;1078;1601;1764;3364;(98,197);(298,64);300.74725799;285.4991582940098;AR0500SR.map
62;AnyaSearch;4766;1908;1593;1868;3412;(275,59);(38,282);388.11479034;370.05775726524377;AR0500SR.map
63;AnyaSearch;2886;172;464;525;986;(206,275);(21,222);228.50966797;216.4484426618585;AR0500SR.map
64;AnyaSearch;1604;570;969;1108;2074;(217,84);(101,293);262.01933594;249.3101843639074;AR0500SR.map
65;AnyaSearch;2214;889;908;1012;1898;(219,143);(92,204);208.89444427;194.99824479002447;AR0500SR.map
66;AnyaSearch;2707;167;319;446;764;(192,91);(106,248);192.62236633;183.51165026680212;AR0500SR.map
