exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
0;AnyaSearch;2926;333;13;20;32;(538,731);(659,721);125.14213562;121.41251994749142;Milan_1_1024.map
1;AnyaSearch;10866;10864;3784;3960;7726;(341,30);(139,963);1169.05295715;1094.3286311537452;Milan_1_1024.map
2;AnyaSearch;3679;77;55;59;113;(573,722);(124,774);470.53910522;452.0011061933367;Milan_1_1024.map
3;AnyaSearch;2338;774;529;582;1110;(1002,541);(672,485);387.94826813;366.60477285244656;Milan_1_1024.map
4;AnyaSearch;5189;397;344;377;720;(171,621);(565,542);446.60512237;414.8969195803055;Milan_1_1024.map
5;AnyaSearch;2409;330;339;348;686;(761,771);(349,440);549.10468902;528.5478925041965;Milan_1_1024.map
6;AnyaSearch;4160;1637;1251;1394;2644;(353,295);(808,274);525.00209198;485.6146433715604;Milan_1_1024.map
7;AnyaSearch;51806;51803;44569;47719;90281;(983,1023);(291,47);1465.55461577;1412.2612456144936;Milan_1_1024.map
8;AnyaSearch;1483;1480;1828;2097;3907;(146,920);(769,339);884.16060485;864.7096782254876;Milan_1_1024.map
9;AnyaSearch;4192;67;53;83;135;(432,28);(319,78);133.7106781;123.5677951571525;Milan_1_1024.map
10;AnyaSearch;3570;112;179;199;377;(164,481);(44,657);225.70562744;213.01643129110957;Milan_1_1024.map
11;AnyaSearch;3474;225;308;443;750;(981,496);(837,314);248.09040375;237.35281826441096;Milan_1_1024.map
12;AnyaSearch;3363;232;325;415;739;(493,540);(348,862);382.06096649;353.1416146533852;Milan_1_1024.map
13;AnyaSearch;1266;1265;2294;2472;4763;(306,549);(231,10);631.36962433;583.6590477531128;Milan_1_1024.map
14;AnyaSearch;14395;14394;21131;22446;43087;(860,1006);(973,3);1140.10468902;1081.6749648020548;Milan_1_1024.map
15;AnyaSearch;1930;258;587;654;1238;(443,761);(491,972);248.82337646;232.3189684655228;Milan_1_1024.map
16;AnyaSearch;2450;2449;4663;4786;9446;(150,15);(153,939);1162.72705535;1078.4403166844554;Milan_1_1024.map
17;AnyaSearch;2519;75;164;220;383;(277,635);(566,796);355.68838348;330.82019285406386;Milan_1_1024.map
18;AnyaSearch;3551;55;107;151;257;(796,953);(791,849);106.07106781;104.12012293500234;Milan_1_1024.map
19;AnyaSearch;1068;1068;1933;2099;4028;(620,272);(133,696);686.05800781;658.7740878859161;Milan_1_1024.map
20;AnyaSearch;2406;331;746;887;1632;(591,774);(127,316);674.79812316;655.0566909247659;Milan_1_1024.map
21;AnyaSearch;7572;7571;11900;12635;24185;(802,469);(591,187);547.14927826;517.7552745627163;Milan_1_1024.map
22;AnyaSearch;3388;3387;6470;6814;13241;(195,886);(174,111);896.13917694;849.2220963762702;Milan_1_1024.map
23;AnyaSearch;3119;388;1010;1093;2102;(52,713);(672,364);768.6610382;720.4424508970883;Milan_1_1024.map
24;AnyaSearch;1023;1023;2224;2340;4563;(419,817);(106,258);691.5777771;654.7939717932277;Milan_1_1024.map
25;AnyaSearch;2611;21;17;37;53;(607,809);(703,795);101.79898987;97.01546268507923;Milan_1_1024.map
26;AnyaSearch;3009;48;90;152;241;(554,623);(859,710);341.03657989;317.1655719021218;Milan_1_1024.map
27;AnyaSearch;3320;3319;5966;6300;12265;(988,2);(160,1014);1373.12820891;1317.8458622781247;Milan_1_1024.map
28;AnyaSearch;4614;4613;7653;8300;15629;(525,582);(1009,242);697.49451599;644.4515696277731;Milan_1_1024.map
29;AnyaSearch;4510;142;569;645;1213;(656,710);(113,955);644.48232269;604.3066661815753;Milan_1_1024.map
30;AnyaSearch;8126;8125;17209;18606;35134;(2,781);(972,165);1272.65302886;1199.9609222954418;Milan_1_1024.map
31;AnyaSearch;3041;417;1489;1820;3308;(827,129);(177,772);967.30274047;923.3722847190728;Milan_1_1024.map
32;AnyaSearch;2266;142;682;893;1574;(1012,932);(134,314);1149.2144287;1081.0839419106828;Milan_1_1024.map
33;AnyaSearch;2561;20;32;53;84;(536,676);(523,647);34.38477631;31.78049716414141;Milan_1_1024.map
34;AnyaSearch;1772;583;2380;2645;5022;(15,1004);(994,15);1419.11810759;1393.5466507885742;Milan_1_1024.map
35;AnyaSearch;2960;411;1649;1904;3552;(32,29);(842,1014);1458.86623229;1368.6671867975297;Milan_1_1024.map
36;AnyaSearch;2450;803;2442;2626;5067;(109,70);(990,830);1267.43477477;1217.4148535328861;Milan_1_1024.map
37;AnyaSearch;3190;48;191;275;465;(47,651);(931,817);952.75945129;901.399508387362;Milan_1_1024.map
38;AnyaSearch;2537;353;1341;1515;2835;(474,919);(397,331);630.43860016;608.4848812626615;Milan_1_1024.map
39;AnyaSearch;4463;4462;9388;10184;19221;(444,666);(970,207);791.27121124;758.8241634788902;Milan_1_1024.map
40;AnyaSearch;3941;15;9;15;23;(288,608);(297,614);11.48528137;10.816653826391969;Milan_1_1024.map
41;AnyaSearch;3524;54;216;249;464;(1013,796);(467,715);580.37972565;553.455134572884;Milan_1_1024.map
42;AnyaSearch;2160;128;601;704;1304;(799,597);(520,976);494.5655838;478.85923808758173;Milan_1_1024.map
43;AnyaSearch;1959;1958;4730;5037;9766;(965,56);(2,710);1250.82460174;1193.0103576999777;Milan_1_1024.map
44;AnyaSearch;3411;52;228;268;495;(44,583);(658,674);651.69343414;626.6352340913652;Milan_1_1024.map
45;AnyaSearch;44072;19708;36772;40056;74492;(750,970);(1,35);1415.31493377;1318.4309836423015;Milan_1_1024.map
46;AnyaSearch;25546;25543;43123;46361;87447;(972,685);(313,87);1387.09162902;1319.1104309587784;Milan_1_1024.map
47;AnyaSearch;2476;2474;6027;6438;12369;(760,782);(754,120);697.62236633;680.2597530537989;Milan_1_1024.map
48;AnyaSearch;1727;1726;4763;5037;9787;(71,133);(243,919);894.74220733;869.7613581344151;Milan_1_1024.map
49;AnyaSearch;19529;19527;36157;38514;73154;(443,964);(44,52);1241.12193298;1174.578340095455;Milan_1_1024.map
50;AnyaSearch;41360;18067;34186;36255;69270;(860,956);(453,30);1217.77077789;1151.4505985830376;Milan_1_1024.map
51;AnyaSearch;3161;437;1670;1852;3521;(296,695);(938,90);911.93015746;884.6503343438585;Milan_1_1024.map
52;AnyaSearch;1986;638;2326;2675;5000;(30,40);(599,978);1328.76868591;1230.6102760060587;Milan_1_1024.map
53;AnyaSearch;2876;185;901;1059;1959;(130,160);(753,905);1003.05504913;978.217596606983;Milan_1_1024.map
54;AnyaSearch;3937;31;79;141;219;(318,397);(651,473);364.48023071;341.5625857730908;Milan_1_1024.map
55;AnyaSearch;3420;106;387;753;1139;(43,233);(696,617);812.05800781;757.5387778853304;Milan_1_1024.map
56;AnyaSearch;1884;259;748;839;1584;(470,169);(188,328);362.50461731;334.1570233173721;Milan_1_1024.map
