exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
0;AnyaSearch;89512;27051;19069;38109;41654;(186,224);(3,312);231.30865784;208.12244312118193;random512-20-0.map
1;AnyaSearch;154422;154417;104442;197344;228921;(436,482);(0,34);710.02142791;634.1398758498735;random512-20-0.map
2;AnyaSearch;1909;253;243;475;677;(389,211);(431,180);58.94112549;52.75867999569438;random512-20-0.map
3;AnyaSearch;475399;214614;170500;321897;357524;(18,58);(491,355);633.5533905;570.3585505569545;random512-20-0.map
4;AnyaSearch;9430;9428;10137;19009;23461;(389,277);(267,435);228.45079346;203.59298857913222;random512-20-0.map
5;AnyaSearch;26729;9173;12474;23230;29457;(92,97);(129,358);291.88225098;267.3065147876773;random512-20-0.map
6;AnyaSearch;43290;43288;44515;84933;99873;(27,130);(357,461);527.09754638;474.09773255168886;random512-20-0.map
7;AnyaSearch;29758;29757;32432;61229;73647;(305,142);(66,428);418.97265472;380.3540382729917;random512-20-0.map
8;AnyaSearch;15088;15086;17540;33277;41287;(481,180);(374,456);328.4213562;299.25865968082815;random512-20-0.map
9;AnyaSearch;46654;46651;46761;89781;104522;(500,161);(111,466);558.34018707;500.9776279629721;random512-20-0.map
10;AnyaSearch;208263;96519;94343;176983;208646;(415,498);(30,16);692.43564148;625.5419390456736;random512-20-0.map
11;AnyaSearch;29589;29586;31652;59338;71710;(11,491);(249,176);443.70057678;401.13194569742353;random512-20-0.map
12;AnyaSearch;6252;6250;8036;16059;18637;(30,341);(249,448);275.62236633;248.15571408183672;random512-20-0.map
13;AnyaSearch;2245;35;76;169;237;(496,429);(497,450);23.65685425;21.51749697218684;random512-20-0.map
14;AnyaSearch;3405;491;917;1912;2331;(136,369);(213,402);95.59797974;85.81194541210937;random512-20-0.map
15;AnyaSearch;256661;123151;119056;225091;258943;(494,458);(22,21);727.99199066;653.0418960772611;random512-20-0.map
16;AnyaSearch;3140;3138;4839;9617;11439;(77,394);(262,337);213.29646454;195.86432217938903;random512-20-0.map
17;AnyaSearch;2210;2209;3591;6721;8701;(233,425);(276,302);147.3969696;132.5756249097592;random512-20-0.map
18;AnyaSearch;71391;71389;75848;136394;165907;(86,75);(131,510);480.65180359;444.1107274866882;random512-20-0.map
19;AnyaSearch;6032;6007;8079;15606;18670;(451,371);(291,472);217.06601715;193.33098713575401;random512-20-0.map
20;AnyaSearch;4059;31;67;140;193;(364,23);(340,29);30.48528137;25.947025060641437;random512-20-0.map
21;AnyaSearch;4653;216;349;689;965;(180,250);(243,206);90.25483398;78.58548516034064;random512-20-0.map
22;AnyaSearch;56467;56465;43627;86165;94601;(458,384);(28,510);493.46298675;453.13774974387366;random512-20-0.map
23;AnyaSearch;35027;35023;24147;44309;55836;(314,63);(336,398);363.7106781;339.8121616892022;random512-20-0.map
24;AnyaSearch;17087;17085;18586;34970;43056;(343,20);(363,282);286.56854248;266.0290445925635;random512-20-0.map
25;AnyaSearch;64877;64875;58207;113999;128379;(37,184);(490,475);605.16861419;544.6451205994765;random512-20-0.map
26;AnyaSearch;88863;88860;77589;148376;171215;(33,488);(481,119);652.97979736;588.4797781853928;random512-20-0.map
27;AnyaSearch;37623;37620;36927;68191;79772;(161,252);(269,54);262.55129852;234.00586252214666;random512-20-0.map
28;AnyaSearch;18890;18887;19961;36679;46503;(75,452);(2,130);361.65180359;334.0469786204684;random512-20-0.map
29;AnyaSearch;23745;23742;24267;48882;53088;(20,86);(484,119);505.65180359;467.3971776182883;random512-20-0.map
30;AnyaSearch;16767;16765;17260;35780;38315;(52,292);(446,326);426.0243866;397.22813657374263;random512-20-0.map
31;AnyaSearch;1914;1913;2521;4992;6177;(218,295);(206,384);98.21320343;91.1529214761861;random512-20-0.map
32;AnyaSearch;17525;17524;20968;40607;47312;(202,204);(408,397);322.26197662;287.1763155538002;random512-20-0.map
33;AnyaSearch;82460;82458;86265;163909;191246;(3,0);(463,476);748.54833984;670.1476011922147;random512-20-0.map
34;AnyaSearch;88463;42391;47589;90384;105399;(112,3);(430,283);482.60007171;431.44983814804493;random512-20-0.map
35;AnyaSearch;2142;2140;3850;7232;9267;(97,470);(169,353);158.53910522;139.9395869408195;random512-20-0.map
36;AnyaSearch;13222;13220;16865;32888;37574;(168,196);(296,69);211.45079346;186.11972072704603;random512-20-0.map
37;AnyaSearch;3785;119;318;644;843;(416,98);(408,132);39.3137085;36.0025131208878;random512-20-0.map
38;AnyaSearch;49918;49915;51234;101711;113175;(493,163);(17,403);594.64170227;538.9280418454193;random512-20-0.map
39;AnyaSearch;10582;10579;12872;26203;29307;(72,317);(378,198);364.56349182;331.3059914681666;random512-20-0.map
40;AnyaSearch;3675;14;3;23;25;(38,483);(39,483);1.0;1.0;random512-20-0.map
41;AnyaSearch;25272;25269;29278;54778;67809;(277,504);(414,131);439.119841;401.52552423407576;random512-20-0.map
42;AnyaSearch;95421;95419;96167;181732;212416;(405,20);(57,511);674.87929229;609.5183552456712;random512-20-0.map
43;AnyaSearch;29866;29863;34100;68463;74619;(29,63);(419,194);453.87720032;415.5349417692726;random512-20-0.map
44;AnyaSearch;71897;71894;77304;147016;168947;(104,166);(493,492);579.58282776;516.8025403031111;random512-20-0.map
45;AnyaSearch;157142;76456;80860;149435;180946;(99,500);(314,3);605.28636322;548.6774866530716;random512-20-0.map
46;AnyaSearch;86667;86662;87650;164612;193344;(315,14);(14,478);621.72496338;560.491844682255;random512-20-0.map
47;AnyaSearch;80879;80875;86006;161194;189870;(419,479);(112,29);618.41125488;553.6131085021983;random512-20-0.map
48;AnyaSearch;45480;45477;50930;96178;114093;(72,114);(412,474);562.34018707;501.84415168929456;random512-20-0.map
49;AnyaSearch;1762;1760;3174;5899;7687;(97,258);(185,376);166.16652222;149.51583145622013;random512-20-0.map
50;AnyaSearch;7098;7097;9843;19929;22168;(428,325);(152,376);306.19595947;283.00124328751787;random512-20-0.map
51;AnyaSearch;5857;5856;9317;18018;22946;(76,12);(57,348);363.46803741;338.59449385832454;random512-20-0.map
52;AnyaSearch;2678;171;417;807;1131;(16,345);(34,299);57.45584412;50.75503278668105;random512-20-0.map
53;AnyaSearch;40897;40891;45696;86482;103664;(92,428);(419,50);559.13917694;506.1894716691564;random512-20-0.map
54;AnyaSearch;11824;11822;15449;29251;35695;(432,341);(298,135);278.7350647;250.07099737630222;random512-20-0.map
55;AnyaSearch;45104;45101;49391;93447;110973;(325,7);(60,388);524.64170227;472.6158339986109;random512-20-0.map
56;AnyaSearch;3784;3782;5868;11821;13607;(24,135);(258,77);266.0243866;243.41966970069856;random512-20-0.map
57;AnyaSearch;126213;59609;60596;113666;137052;(352,473);(148,14);560.38686828;508.068364616783;random512-20-0.map
58;AnyaSearch;148113;148109;139069;261025;301331;(13,39);(452,495);717.74934997;643.2717627620459;random512-20-0.map
59;AnyaSearch;3301;464;943;1984;2608;(96,293);(119,200);106.28427124;97.0444334507994;random512-20-0.map
60;AnyaSearch;94511;94508;91786;171345;202600;(42,474);(375,48);608.45288543;549.1716514414155;random512-20-0.map
61;AnyaSearch;275003;133350;126272;237887;275026;(9,44);(487,508);760.54833984;675.8591393301141;random512-20-0.map
62;AnyaSearch;2041;2039;3341;6932;7800;(205,399);(436,424);254.91168823;233.6455369278026;random512-20-0.map
63;AnyaSearch;19693;19691;21826;42893;49929;(126,381);(452,178);430.00209198;388.45480840529126;random512-20-0.map
64;AnyaSearch;9779;9777;12777;24399;30261;(237,157);(191,392);263.22539673;242.60392023129117;random512-20-0.map
65;AnyaSearch;38893;38890;39984;75834;91359;(304,463);(8,53);565.41125488;510.72637078551;random512-20-0.map
66;AnyaSearch;10927;10925;13379;25216;31521;(320,487);(501,238);347.98989868;311.6344954498108;random512-20-0.map
67;AnyaSearch;6357;6356;8170;15934;19093;(314,223);(122,71);279.56349182;248.64198129008153;random512-20-0.map
68;AnyaSearch;15574;15572;18111;33954;41522;(261,423);(464,200);341.06096649;305.8320535202443;random512-20-0.map
69;AnyaSearch;45068;45066;46230;86422;104667;(146,501);(481,101);592.89653625;528.4093184378424;random512-20-0.map
70;AnyaSearch;4646;4644;6641;12798;16353;(146,490);(263,302);248.76450195;224.03498448847245;random512-20-0.map
71;AnyaSearch;22982;22980;26296;52550;57468;(78,174);(508,218);469.48023071;435.139795988634;random512-20-0.map
72;AnyaSearch;2825;395;797;1491;2019;(81,334);(30,415);109.15432892;97.20527580987394;random512-20-0.map
73;AnyaSearch;4955;4954;7122;12854;16435;(408,220);(464,354);162.95331879;148.8037359289899;random512-20-0.map
74;AnyaSearch;5627;5626;8074;15832;18198;(144,458);(474,428);359.88225098;333.2709233998227;random512-20-0.map
75;AnyaSearch;65195;65192;64181;124166;140702;(451,78);(31,352);567.47012939;509.5469822603424;random512-20-0.map
76;AnyaSearch;9136;9134;11644;22245;27888;(112,283);(189,4);322.89444427;293.4439723208233;random512-20-0.map
77;AnyaSearch;151490;74940;74758;137183;165725;(439,500);(244,21);577.1442276;523.5378881559631;random512-20-0.map
78;AnyaSearch;67766;67762;66853;127837;147968;(482,2);(50,375);643.32294311;578.1912056196869;random512-20-0.map
79;AnyaSearch;1067;1066;2129;4158;5175;(281,42);(175,111);144.78174591;129.49099210598303;random512-20-0.map
80;AnyaSearch;44610;44566;49594;90414;111968;(219,21);(121,494);525.7350647;487.84651868727303;random512-20-0.map
81;AnyaSearch;28062;28058;34454;63077;79411;(38,495);(27,43);487.26702728;457.2117182887845;random512-20-0.map
82;AnyaSearch;8070;8069;11382;21364;26685;(424,469);(499,254);252.99494934;231.79305087398492;random512-20-0.map
83;AnyaSearch;14716;14714;17601;35208;40084;(139,337);(410,189);346.60512237;313.47201416186135;random512-20-0.map
84;AnyaSearch;28899;28897;34438;63503;78738;(359,79);(264,496);471.27922058;431.77303048808557;random512-20-0.map
85;AnyaSearch;108626;108623;112208;211226;245349;(476,0);(43,464);713.89148559;644.0365723794151;random512-20-0.map
86;AnyaSearch;3461;14;4;16;19;(339,54);(338,55);2.0;2.0;random512-20-0.map
87;AnyaSearch;15217;6938;9667;19621;21797;(237,395);(469,348);259.95331879;239.34249599772494;random512-20-0.map
88;AnyaSearch;7624;7622;10228;20311;23736;(233,221);(383,368);240.17871551;214.07063318117122;random512-20-0.map
89;AnyaSearch;1718;1717;2978;5809;7088;(389,364);(261,280);176.50966797;155.44810090422726;random512-20-0.map
90;AnyaSearch;14459;14458;17391;33445;39387;(204,404);(484,229);370.64675293;334.6086570453046;random512-20-0.map
91;AnyaSearch;92883;92880;93610;174640;205954;(510,511);(153,33);676.15137024;605.5246399002824;random512-20-0.map
92;AnyaSearch;42875;42872;45506;87558;101299;(137,176);(480,450);497.49956665;445.9340733156574;random512-20-0.map
93;AnyaSearch;38266;38263;41112;78013;92289;(85,152);(431,452);522.64170227;465.29873511960494;random512-20-0.map
94;AnyaSearch;53627;53624;54662;102087;122512;(26,485);(314,72);564.51175995;509.2236418026094;random512-20-0.map
95;AnyaSearch;9881;9878;12873;24566;30678;(142,58);(134,315);277.91168823;260.669193826442;random512-20-0.map
96;AnyaSearch;24751;24748;27548;50841;63473;(324,144);(202,483);402.22034607;365.55010530682404;random512-20-0.map
97;AnyaSearch;23130;23127;26134;49106;59434;(349,65);(159,345);383.88939361;343.7968489640448;random512-20-0.map
98;AnyaSearch;25956;25954;29839;54993;68540;(356,81);(452,416);380.27922058;352.2245965656036;random512-20-0.map
99;AnyaSearch;57684;57681;59470;113159;131936;(87,159);(483,489);586.239682;523.276268918933;random512-20-0.map
100;AnyaSearch;2840;2838;4681;8754;11405;(316,214);(349,374);180.3969696;165.40339404350843;random512-20-0.map
101;AnyaSearch;21617;21616;24570;47175;56698;(247,83);(510,373);440.5290039;395.9475635470361;random512-20-0.map
102;AnyaSearch;47083;22657;25356;49293;57378;(319,449);(25,235);410.17366485;368.5239413391081;random512-20-0.map
103;AnyaSearch;85545;85541;86173;164991;189180;(18,501);(510,143);689.73715667;617.7039992788588;random512-20-0.map
104;AnyaSearch;84530;84528;82916;158818;180857;(510,440);(8,102);688.42344818;615.4186797057519;random512-20-0.map
105;AnyaSearch;69148;69145;69079;130751;153647;(62,442);(477,51);639.05086517;577.525976053561;random512-20-0.map
106;AnyaSearch;2142;648;1258;2496;3131;(383,312);(262,358);143.81118317;131.12071942284615;random512-20-0.map
107;AnyaSearch;41919;41917;45010;86157;101217;(435,401);(54,70);575.31074981;513.7500514505072;random512-20-0.map
108;AnyaSearch;2904;23;50;96;145;(340,204);(407,204);74.55634918;67.0;random512-20-0.map
109;AnyaSearch;6777;6776;8834;17115;20562;(240,315);(74,450);243.83556976;217.24218635829436;random512-20-0.map
110;AnyaSearch;32330;32328;36678;68027;83779;(389,71);(277,459);446.00714264;408.7063489430968;random512-20-0.map
111;AnyaSearch;80902;80900;82419;152045;182072;(407,46);(176,507);577.42849884;523.4109664724614;random512-20-0.map
112;AnyaSearch;137429;69237;68429;133750;146933;(41,469);(503,295);548.61731567;499.631514670831;random512-20-0.map
113;AnyaSearch;37174;37171;39604;72827;90858;(404,485);(229,37);537.1320343;487.11625472346253;random512-20-0.map
114;AnyaSearch;9299;9296;12471;22890;29318;(427,203);(355,453);288.16652222;263.3842672208922;random512-20-0.map
115;AnyaSearch;1774;595;1111;2212;2766;(244,91);(289,142);77.84062042;69.88810930810388;random512-20-0.map
116;AnyaSearch;93085;93082;92584;177100;203013;(510,55);(3,443);712.47727203;645.910882916547;random512-20-0.map
117;AnyaSearch;76977;76974;78384;148287;172950;(507,436);(91,30);658.5655838;589.0367260975412;random512-20-0.map
118;AnyaSearch;10072;10070;12986;24069;29738;(395,222);(433,44);201.0121933;185.4921132313809;random512-20-0.map
119;AnyaSearch;34266;34263;36919;70430;84300;(127,386);(500,9);591.83766174;534.9918472798421;random512-20-0.map
120;AnyaSearch;3553;3552;5650;10660;13814;(404,148);(417,401);270.91168823;254.77950844472338;random512-20-0.map
121;AnyaSearch;2524;2523;3925;7764;9305;(359,0);(203,75);194.68124084;175.22841468738835;random512-20-0.map
122;AnyaSearch;171498;84259;81293;154131;181018;(85,468);(511,5);705.64884491;636.47460506758;random512-20-0.map
123;AnyaSearch;2256;2254;3504;7330;8128;(188,275);(341,301);171.76955261;156.92990370354582;random512-20-0.map
124;AnyaSearch;3112;1064;1849;3810;4464;(375,346);(485,311);127.32590179;117.20822532901452;random512-20-0.map
125;AnyaSearch;1998;32;77;160;217;(263,313);(270,294);23.3137085;21.455612434792677;random512-20-0.map
126;AnyaSearch;2139;34;73;152;219;(375,289);(336,281);43.14213562;40.27132504699238;random512-20-0.map
127;AnyaSearch;4874;4873;6873;13905;15643;(126,9);(306,73);214.7106781;193.8972039800003;random512-20-0.map
128;AnyaSearch;34836;34834;38189;71373;86489;(349,422);(217,70);416.77669525;380.83553919034193;random512-20-0.map
129;AnyaSearch;55057;55054;56626;111972;123601;(464,466);(27,257);538.21529541;490.46294639656907;random512-20-0.map
130;AnyaSearch;86629;86626;85759;162684;189624;(0,510);(504,75);744.51890258;673.1308561670495;random512-20-0.map
131;AnyaSearch;79968;79965;74962;143440;165547;(9,499);(498,147);676.39401092;609.73995037239;random512-20-0.map
132;AnyaSearch;3654;55;174;331;494;(29,465);(61,421);61.35533905;56.093206884597734;random512-20-0.map
133;AnyaSearch;37606;37604;41749;77882;94054;(311,87);(196,425);397.59292908;362.52818214135834;random512-20-0.map
134;AnyaSearch;17541;17539;21188;39707;49681;(207,454);(158,120);367.0243866;340.7788201098755;random512-20-0.map
135;AnyaSearch;107200;53224;57817;104972;130321;(29,508);(143,15);555.14927826;511.0480156209316;random512-20-0.map
136;AnyaSearch;23684;23681;26748;50655;61414;(163,57);(457,397);505.12698364;454.4271121372568;random512-20-0.map
137;AnyaSearch;2761;2760;4136;8572;9575;(29,57);(180,21);168.49747467;157.40622425368136;random512-20-0.map
138;AnyaSearch;53500;53498;55753;104658;126678;(7,43);(338,506);638.18080749;575.5226272915046;random512-20-0.map
139;AnyaSearch;67954;67952;69774;131339;156259;(68,487);(397,42);619.59502105;560.4764865523907;random512-20-0.map
140;AnyaSearch;31454;31452;37284;67417;83318;(474,92);(465,402);336.15432892;314.55795429202124;random512-20-0.map
