index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
0;1493.62;4253;1051;999;965;5;400.7631767417499;425.97265
1;168.777;552;159;154;113;0;207.4913774852005;220.00714
2;572.216;2062;471;459;407;7;479.1381336363166;506.58788
3;639.091;2285;528;507;449;6;418.3407198029644;441.40411
4;465.934;1671;372;361;315;8;374.8230974128245;399.27417
5;1296.5;4277;1093;1039;1001;6;358.8693100451681;381.54625
6;1165.674;3943;943;898;854;6;333.3235221253875;357.67619
7;1300.585;4601;1159;1110;1082;6;456.3513089310114;484.3158
8;136.118;456;145;140;103;0;205.1356215423563;216.37973
9;112.432;381;110;106;73;0;254.4435157532893;266.16147
10;307.347;1067;310;296;256;0;191.248070685456;200.71068
11;19.886;43;23;21;11;0;68.00735254367721;68.414214
12;115.403;435;136;128;99;2;217.4370413455429;228.24978
13;989.505;3619;867;826;773;4;346.9324552663953;372.23254
14;185.414;707;165;158;121;0;191.9544453384794;202.58074
15;646.984;2356;536;517;467;6;363.6479025151102;387.27417
16;1254.824;4341;1070;1027;997;4;445.2971996814076;472.14423
17;464.575;1709;376;369;320;9;481.1809119740379;507.02648
18;921.133;3339;764;733;694;4;296.297435792039;313.63456
19;382.922;1327;335;321;281;1;260.0919927854613;276.46299
20;3.293;0;1;0;0;0;19.23538406167134;20.242641
21;689.677;2273;613;590;531;1;387.941817911385;411.03153
22;292.989;1110;241;236;213;5;251.7143441397352;268.20815
23;179.733;577;219;203;170;0;144.2603592241655;149.58074
24;596.006;2018;552;531;473;1;386.1659562737335;407.529
25;103.935;355;114;108;78;0;163.5803906785912;172.71068
26;207.289;781;193;184;170;2;273.6115061053079;295.37973
27;125.197;420;127;122;91;0;208.1321069485868;215.04877
28;168.955;585;159;153;111;0;271.0601887667165;285.84776
29;60.694;205;60;58;35;0;228.9062057742396;235.40411
30;1405.304;4931;1240;1191;1147;8;469.3770359607273;498.14423
31;200.821;618;193;189;150;0;224.3106705187768;231.01934
32;445.822;1679;360;352;309;9;444.1940156561797;467.74221
33;3.919;4;6;3;2;0;7.615773105863909;8.2426407
34;1246.243;4397;1112;1062;1026;6;409.437065481092;433.87215
35;194.343;639;229;217;183;0;149.8923974359984;156.10765
36;15.425;41;27;25;12;0;68.41052550594829;71.39697
37;144.485;539;143;138;99;0;190.6052441495144;200.13708
38;487.79;1841;437;422;348;4;324.3202176553145;340.8772
39;1203.124;4066;1058;1005;964;4;395.2773433974015;414.4285
40;1335.083;4872;1189;1134;1093;6;442.082141298488;469.84271
41;64.371;222;69;65;44;0;192.472150244663;199.11984
42;530.852;1998;457;444;391;7;379.2500048969307;400.0904
43;557.122;1982;516;500;449;1;390.60648667335;412.35743
44;513.587;1930;461;443;371;4;358.7107033135802;378.64675
45;4.033;3;6;4;3;0;14.42220510185596;15.313709
46;65.006;224;67;63;52;0;73.56466363988535;79.497475
47;751.877;2717;651;627;572;7;233.7480361024889;248.5513
48;186.478;653;197;189;157;0;172.3204151331838;187.16652
49;652.8;2482;575;554;506;7;325.0694213563809;343.30361
50;111.47;344;119;115;85;0;196.6937203826387;207.89444
51;301.997;1073;291;281;244;0;246.5002973777162;258.91883
52;1389.661;4857;1202;1147;1101;4;470.5064791591305;496.09755
53;100.743;322;105;102;71;0;300.5259901897485;313.00209
54;1198.087;4040;982;932;896;4;377.9864616914875;401.07316
55;1460.205;5137;1258;1210;1170;6;450.0396989336173;475.44574
56;680.988;2487;572;555;508;7;427.1073089216028;455.97265
57;350.867;1342;344;329;283;1;278.7451814506176;295.73506
58;240.25;893;255;246;191;0;344.6277906064675;363.75945
59;1364.894;4919;1209;1159;1119;5;441.7610411917595;468.62951
60;322.918;1156;331;317;271;0;265.1941803573736;282.56349
61;334.051;1197;355;338;286;0;285.4991582940098;300.74726
62;393.377;1429;334;322;270;4;370.0577572652438;388.11479
63;122.026;461;129;120;93;0;216.4484426618585;228.50967
64;163.142;577;177;171;138;0;249.3101843639074;262.01934
65;193.822;723;198;190;153;0;194.9982447900245;208.89444
66;53.308;181;76;73;45;0;183.5116502668021;192.62237
67;26.887;79;39;35;22;0;96.23823728350307;101.59798
68;79.708;266;97;94;65;0;152.0359208072296;160.88225
69;305.145;1046;318;303;271;0;254.2530842888964;268.23254
70;47.08;156;51;48;27;0;95.16441361829182;103.59798
71;1538.207;5584;1331;1277;1235;7;436.6983405404873;462.18586
72;119.243;427;101;97;72;0;145.7710229998432;152.37973
73;125.534;423;121;116;90;0;150.9009221588407;160.92388
74;182.13;649;171;164;131;0;173.490389610619;183.02439
75;1339.113;4671;1176;1122;1081;5;400.425308546216;420.94322
