index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
0;2891.14;5027;2613;2569;2461;1;400.7631767417499;425.97265
1;421.676;737;521;513;370;0;207.4913774852004;220.00714
2;1448.583;2272;1329;1310;1157;2;479.1381336363166;506.58788
3;1366.014;2378;1441;1417;1252;11;418.3407198029644;441.40411
4;1013.023;1761;1067;1052;905;4;374.8230974128245;399.27417
5;2953.95;5144;2729;2676;2550;2;358.8693100451681;381.54625
6;2551.254;4452;2413;2365;2206;6;333.3235221253875;357.67619
7;3100.104;5753;2929;2877;2795;2;456.3513089310114;484.3158
8;199.676;360;259;254;160;0;205.1356215423563;216.37973
9;243.069;393;331;326;217;0;254.4435157532893;266.16147
10;691.492;1247;759;741;623;2;191.248070685456;200.71068
11;16.118;4;37;35;5;0;68.00735254367721;68.414214
12;229.201;394;347;339;246;0;217.4370413455429;228.24978
13;2449.868;4102;2241;2196;2024;2;346.9324552663953;372.23254
14;301.287;503;377;366;267;0;191.9544453384794;202.58074
15;1467.038;2557;1518;1489;1323;2;363.6479025151102;387.27417
16;3028.494;5424;2809;2758;2649;5;445.2971996814076;472.14423
17;990.989;1822;1062;1047;890;2;481.1809119740379;507.02648
18;2155.883;3821;2064;2027;1863;5;296.297435792039;313.63456
19;960.864;1590;1060;1037;870;6;260.0919927854613;276.46299
20;2.834;0;1;0;0;0;19.23538406167134;20.242641
21;1514.92;2651;1490;1458;1263;0;387.941817911385;411.03153
22;703.871;1209;728;718;622;2;251.7143441397352;268.20815
23;406.789;626;466;454;339;0;144.2603592241655;149.58074
24;1265.507;2319;1299;1273;1113;0;386.1659562737335;407.529
25;219.748;346;301;296;195;0;163.5803906785912;172.71068
26;492.022;976;494;486;450;5;273.6115061053079;295.37973
27;252.373;468;291;285;222;0;208.1321069485868;215.04877
28;336.147;581;437;429;286;0;271.0601887667165;285.84776
29;57.211;79;92;90;44;0;228.9062057742396;235.40411
30;3516.033;6049;3157;3102;2945;5;469.3770359607273;498.14423
31;389.701;713;434;425;323;0;224.3106705187768;231.01934
32;946.722;1659;987;973;849;2;444.1940156561797;467.74221
33;6.313;0;12;8;1;0;7.615773105863909;8.2426407
34;3133.536;5283;2817;2761;2617;1;409.437065481092;433.87215
35;500.647;852;485;472;379;0;149.8923974359984;156.10765
36;14.424;7;32;30;7;0;68.41052550594829;71.39697
37;400.083;602;486;477;329;0;190.6052441495144;200.13708
38;1145.767;1962;1224;1206;1000;5;324.3202176553145;340.8772
39;2759.353;4876;2536;2485;2378;1;395.2773433974015;414.4285
40;3191.482;5722;2955;2907;2782;1;442.082141298488;469.84271
41;220.067;436;198;196;117;0;192.472150244663;199.11984
42;1329.181;2189;1290;1270;1128;2;379.2500048969307;400.0904
43;1321.981;2417;1320;1296;1117;7;390.60648667335;412.35743
44;1310.389;2311;1347;1327;1111;5;358.7107033135802;378.64675
45;3.227;0;3;1;1;0;14.42220510185596;15.313709
46;116.612;182;156;151;106;0;73.56466363988537;79.497475
47;1875.963;3168;1905;1880;1695;3;233.7480361024889;248.5513
48;416.351;656;520;507;383;0;172.3204151331838;187.16652
49;1671.199;2815;1651;1620;1456;14;325.0694213563809;343.30361
50;197.344;306;244;239;141;0;196.6937203826387;207.89444
51;706.427;1276;716;699;556;0;246.5002973777162;258.91883
