index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
0;11.786;0;1;0;0;0;121.4125199474914;125.14214
1;1689.256;2464;1254;1247;1012;0;1094.328631153745;1169.053
2;25.059;1;58;56;2;0;452.0011061933367;470.53911
3;194.025;202;260;255;125;0;366.6047728524466;387.94827
4;89.225;99;136;133;66;0;414.8969195803055;446.60512
5;18.649;9;27;25;7;0;528.5478925041965;549.10469
6;1421.133;2653;865;859;717;0;485.6146433715604;525.00209
7;26625.491;43766;17395;17305;15154;11;1412.261245614494;1465.5546
8;632.064;953;719;714;391;0;864.7096782254876;884.1606
9;19.123;1;50;48;2;0;123.5677951571525;133.71068
10;12.863;1;30;28;2;0;213.0164312911096;225.70563
11;69.329;82;122;119;49;0;237.352818264411;248.0904
12;15.339;1;49;47;2;0;353.1416146533852;382.06097
13;1127.239;2047;955;949;697;0;583.6590477531128;631.36962
14;6440.259;10184;5755;5705;4726;4;1081.674964802055;1140.1047
15;198.806;308;238;234;137;0;232.3189684655228;248.82338
16;2232.258;4518;1539;1527;1264;0;1078.440316684455;1162.7271
17;16.341;2;40;38;3;0;330.8201928540639;355.68838
18;13.126;1;31;29;2;0;104.1201229350023;106.07107
19;766.208;1348;746;739;534;0;658.7740878859161;686.05801
20;175.573;248;216;212;125;0;655.0566909247659;674.79812
21;6642.262;10767;5460;5419;4744;0;517.7552745627163;547.14928
22;1814.308;2906;1637;1622;1241;2;849.2220963762702;896.13918
23;231.805;334;326;320;202;0;720.4424508970883;768.66104
24;477.206;735;550;541;403;0;654.7939717932277;691.57778
25;9.853;0;15;13;1;0;97.01546268507923;101.79899
26;31.111;3;81;79;4;0;317.1655719021218;341.03658
27;1797.589;3149;1518;1510;1268;0;1317.845862278125;1373.1282
28;5246.31;9208;4364;4343;3648;5;644.4515696277731;697.49452
29;205.128;277;276;273;174;0;604.3066661815753;644.48232
30;10023.768;17366;7553;7512;6395;9;1199.960922295442;1272.653
31;1097.805;2277;775;772;614;0;923.3722847190728;967.30274
32;123.709;125;109;107;68;0;1081.083941910683;1149.2144
33;5.236;0;1;0;0;0;31.78049716414141;34.384776
34;479.647;851;491;488;294;0;1393.546650788574;1419.1181
35;542.288;1013;442;437;371;0;1368.66718679753;1458.8662
36;1017.645;1769;902;889;683;0;1217.414853532886;1267.4348
37;46.415;38;88;86;25;0;901.3995083873619;952.75945
38;324.574;485;369;364;208;0;608.4848812626615;630.4386
39;8001.397;12756;4875;4849;4084;5;758.8241634788902;791.27121
40;14.257;0;1;0;0;0;10.81665382639197;11.485281
41;247.503;214;182;180;124;0;553.455134572884;580.37973
42;177.923;134;175;172;88;0;478.8592380875817;494.56558
43;3887.898;4709;2048;2040;1646;0;1193.010357699978;1250.8246
44;163.85;118;160;157;82;0;626.6352340913652;651.69343
45;21686.37;37369;13448;13384;11831;5;1318.430983642302;1415.3149
46;22622.351;40885;16973;16887;14804;19;1319.110430958778;1387.0916
47;1992.689;3434;2014;1994;1556;0;680.2597530537989;697.62237
48;1563.551;2658;1491;1473;1157;0;869.7613581344151;894.74221
49;15758.434;29193;11727;11674;10681;8;1174.578340095455;1241.1219
50;13536.184;23687;11014;10956;9332;21;1151.450598583038;1217.7708
51;595.13;1254;517;514;341;0;884.6503343438585;911.93016
52;829.239;1919;574;568;454;0;1230.610276006059;1328.7687
53;117.858;157;150;148;77;0;978.217596606983;1003.055
54;18.511;3;47;45;4;0;341.5625857730908;364.48023
55;28.424;10;67;65;7;0;757.5387778853304;812.05801
56;485.74;893;472;468;354;0;334.157023317372;362.50462
57;19.897;7;40;38;6;0;423.7098063533579;453.664
58;3689.825;7174;2853;2827;2566;2;674.4684745125107;726.31075
59;37.789;22;74;72;17;0;749.9922577923203;811.63665
60;13.487;0;30;28;1;0;46.51881339845203;50.284271
61;2366.504;4080;2480;2463;1895;1;613.2114790784816;645.5311
62;70.492;82;133;131;56;0;531.8991636683271;556.62237
63;4110.595;8106;3634;3610;3072;0;1043.359373863625;1113.3027
64;14810.601;25945;12777;12699;11022;4;1075.441994974447;1131.4062
65;1046.747;2150;960;956;781;0;1278.022126958765;1331.4003
66;18.27;2;54;52;3;0;634.6179953326252;675.31789
67;2567.626;5614;1894;1880;1460;3;1125.873207474454;1210.0946
68;78.929;91;125;122;57;0;266.5914718979026;273.59798
69;4131.801;8828;3021;3008;2448;0;1321.825327551893;1400.7779
70;271.437;423;337;333;192;0;725.9813646499739;782.00923
71;5.775;0;1;0;0;0;194.6509696867704;208.42136
72;22750.162;41318;17016;16948;14803;24;967.6051750687404;1039.526
73;768.715;1200;797;788;604;0;841.3745268775588;893.7544
74;5.283;0;1;0;0;0;42.19004621945798;45.112698
75;45.581;9;51;49;7;0;608.8480927127882;658.6417
76;71.647;72;134;130;46;0;932.8941831908562;988.87215
77;719.816;1448;737;733;586;0;913.6094257214535;947.00123
78;3112.765;6624;2507;2490;1944;0;1069.772610147477;1111.7535
79;13.259;2;29;27;3;0;41.7612260356422;44.970563
80;50.289;53;88;85;34;0;132.9390105605337;142.50967
81;5154.844;8886;4781;4752;3778;10;1013.379100066637;1077.1808
82;1497.447;2751;1352;1345;1067;0;676.978586019402;716.193
83;45.823;51;44;42;21;0;211.7194938129086;226.09545
84;6842.733;13968;5482;5448;4484;18;1403.392019512653;1452.9566
85;384.384;497;498;491;303;2;715.4038140987604;772.03867
86;42.403;54;62;60;19;0;295.6029243451108;304.38687
87;4.38;0;1;0;0;0;82.73451516749222;86.556349
88;782.977;1465;666;661;515;0;402.4939780212237;433.17366
89;26.281;8;68;66;8;0;626.0806657292653;633.69762
90;55.646;79;101;99;58;0;515.9707144886453;548.34019
91;44.323;38;114;112;25;0;329.3403276302967;355.49242
92;1648.577;2906;1408;1396;1096;0;714.7833103092785;766.39401
93;3669.893;7156;2694;2675;2185;0;514.240879811411;548.72496
94;249.712;371;319;316;185;0;534.2420222506258;567.49957
95;457.319;879;492;489;291;0;1256.891147854033;1281.7678
96;30.84;22;82;80;17;0;596.4824922365655;636.92092
97;347.678;625;407;403;241;0;439.8389720349538;467.12698
98;18072.542;30977;14476;14401;12890;30;1210.534252773528;1267.1981
99;419.514;662;474;472;279;0;1364.285907896301;1403.0937
100;4116.37;8750;3239;3216;2775;0;688.4465794469706;710.33514
101;52.371;63;81;79;39;0;414.7397283137723;423.36753
102;18922.606;34426;14337;14268;12362;15;1325.565642457522;1404.7607
103;20.02;1;25;23;2;0;136.033084211158;137.24264
104;4359.879;9044;2899;2887;2306;0;747.1077210971969;794.64884
105;15.414;1;14;12;2;0;33.01514803843835;33.414214
106;4983.223;9278;4252;4225;3441;1;1228.223008799316;1261.7018
107;57.484;39;100;98;25;0;867.2288226716887;912.24892
108;60.139;88;79;76;36;0;84.79636303027851;88.627417
109;79.082;92;133;130;49;0;556.3917053936987;591.43564
110;26.572;13;76;74;11;0;351.9786925369205;379.73506
111;15040.65;25496;12873;12823;10535;40;1043.606980121752;1098.328
112;34.55;2;67;65;3;0;112.0580206857144;119.76955
113;1015.854;1909;928;920;751;0;1286.232621642605;1321.312
114;1323.399;2128;1489;1477;1033;0;1035.425539395544;1100.7615
115;20.573;1;44;42;2;0;66.91038783328041;70.556349
116;16501.011;29759;12622;12564;10697;4;1191.991960910655;1276.6703
117;21.559;0;24;21;1;0;53.00943312279428;53.414214
118;36.469;19;78;76;15;0;414.621709256519;419.79899
119;353.911;544;391;386;268;0;313.8777681277916;339.36248
120;18385.434;36212;12622;12563;11066;5;1336.799043399718;1420.0916
121;10.384;0;1;0;0;0;33.97057550292606;34.526912
122;1657.995;3081;1528;1520;1228;0;991.8705886687005;1052.4083
123;38.877;42;73;70;31;0;238.4562444915759;258.00714
124;130.751;174;198;196;85;0;385.8854395205723;404.41125
125;15.42;3;41;39;3;0;207.935086024461;214.50462
126;105.249;146;154;152;75;0;778.341753804526;805.96465
127;3904.203;7713;3753;3735;2870;6;1058.152267134186;1136.4916
128;131.894;176;170;167;107;0;181.8920682962265;192.74012
129;1820.66;3293;1566;1557;1285;0;908.8522224347421;956.92301
130;256.265;383;327;321;203;0;344.1152213514134;370.61732
131;1451.316;2441;1601;1585;1278;2;757.7787781793929;792.20519
132;2887.226;6148;2137;2126;1769;0;1124.441116683277;1190.6337
133;209.598;385;223;220;136;0;411.3806692432936;436.59293
134;1902.83;4058;1503;1496;1175;0;1250.780582517499;1305.1038
135;21.278;11;44;42;7;0;579.4661336092041;627.19805
136;35.105;32;78;76;18;0;280.7977966183964;287.45584
137;814.786;1745;785;781;619;0;998.0868488066902;1028.7535
138;3546.651;6415;3354;3333;2631;2;969.0215846128792;1032.7931
139;1318.119;3059;940;937;742;0;1201.76362080603;1273.7657
140;1167.749;2230;1146;1141;947;0;1144.586308849543;1223.2855
141;5.026;0;1;0;0;0;188.9576672167605;195.87006
142;4716.695;9191;3852;3824;3154;1;1285.853032163478;1326.246
143;959.316;1757;994;984;699;1;1353.502930807691;1394.6084
144;9.481;0;26;24;1;0;265.6332057556058;279.61732
145;126.114;172;187;183;115;0;494.7685910694707;531.28636
146;70.541;78;116;114;44;0;176.1311399959664;187.7645
147;3048.187;6127;2428;2413;2120;0;938.0295037230137;989.60931
148;28.134;20;41;37;15;0;37.19770831971383;40.041631
149;104.761;137;154;151;71;0;499.6905587567875;535.28131
150;923.471;1901;799;789;562;0;947.283578426604;984.95959
151;676.935;1330;632;628;478;0;1113.17197421915;1157.7069
152;86.171;140;102;100;42;0;594.7116340894156;643.68333
153;3048.708;5787;2571;2554;2119;0;639.3856801839994;683.03362
154;17968.905;31090;14403;14324;12498;22;1159.545051774921;1220.8204
155;10.566;0;1;0;0;0;321.8105032468642;338.11479
156;22.31;2;49;47;3;0;122.065556157337;128.99495
157;1945.942;3653;1823;1803;1413;0;973.0150507550437;1015.7372
158;8221.874;16390;6443;6413;5509;2;1110.341405549114;1183.0479
159;646.317;1363;481;474;389;0;1327.799688931066;1422.6286
160;725.646;1286;701;690;613;0;1019.654367040412;1075.4032
161;15.802;3;35;33;4;0;386.746687122204;417.53405
162;21.617;5;66;64;6;0;171.0305881441602;175.97771
163;1298.579;2456;1181;1176;965;0;1124.254312075162;1194.0723
164;10909.018;21323;8344;8291;7234;6;1235.694262374043;1324.5454
165;732.013;1124;761;754;554;0;491.318288514124;517.97771
166;15315.848;30382;10320;10266;8788;10;1406.427761462398;1459.1698
167;90.615;76;107;105;27;0;1093.024811098276;1174.4327
168;30.494;16;58;56;8;0;971.3433996275468;1028.989
169;2896.507;6132;2175;2159;1705;1;1333.245847005642;1381.2115
170;6.186;0;1;0;0;0;190.3785702225962;205.68124
171;7668.378;15174;6421;6385;5146;10;1325.844478400888;1366.5252
172;12920.716;24462;9872;9824;8821;8;930.0544518745887;968.59206
173;1677.641;3009;1620;1608;1271;0;1286.271310551861;1347.8612
174;5.499;0;1;0;0;0;63.69458375717672;68.941125
175;63.86;81;114;112;49;0;567.5814586832003;596.69048
176;3189.098;6560;2592;2573;2180;0;860.6588976075906;918.53824
177;761.199;1151;1065;1051;655;3;709.0257054854127;737.27121
178;626.84;1125;633;626;427;0;1069.613808882258;1137.9596
179;875.806;1489;1055;1043;828;0;597.2548476801032;639.73716
180;24.527;18;49;47;14;0;111.7750582019029;118.84062
181;861.445;1549;931;922;669;0;827.9113417894739;868.83975
182;3407.054;7014;2875;2857;2505;0;1048.796001163865;1112.2784
183;1316.236;2242;1454;1439;1132;1;545.9020256058647;584.04372
184;4.316;0;1;0;0;0;21.2602916254693;21.79899
185;21565.611;44665;15110;15036;13399;7;1414.340726305353;1467.2703
186;82.323;58;153;150;43;0;716.5552829743852;727.59798
187;11322.91;20977;9137;9080;7599;14;1368.684499391248;1416.5841
188;26.926;13;43;41;7;0;801.4549269921547;847.12402
189;12.308;0;26;24;1;0;181.1353085403285;183.89949
190;77.47;85;135;132;64;0;735.1715911134283;751.63961
191;20.49;6;55;53;5;0;582.9348162530696;623.50671
192;1694.325;2986;1510;1501;1241;0;1052.363825752897;1096.4571
193;2769.377;5956;1947;1932;1596;0;1354.953208905135;1432.6947
194;5904.063;10806;5270;5237;4544;13;760.4646509725366;798.28131
195;1248.323;2769;947;941;711;0;1179.599899319442;1223.1749
196;18.232;1;59;57;2;0;263.2299375071156;267.14423
197;4289.572;8575;3458;3439;2887;0;707.7995236573563;754.18795
198;200.404;267;245;242;160;0;292.3345517487891;305.78175
199;1370.545;2457;1633;1619;1245;0;1216.704873619758;1270.447
