index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
0;16633.2;30462;18394;13565;13483;0;3218.272099770359;3836.2611
1;3262.636;7397;4467;3332;3313;0;2396.355112790324;2856.0996
2;18057.007;39810;23937;17740;17724;0;3471.382500689757;4161.055
3;13599.434;26139;15814;11655;11595;0;2688.72422266831;3221.3961
4;616.698;1414;849;603;593;0;492.9277401315892;598.13708
5;17554.894;31844;19257;14302;14227;0;2571.104043562544;3083.1118
6;11738.462;26781;16192;12009;11932;0;1897.970646065688;2280.3057
7;12345.328;24620;14814;11017;10981;0;2238.116065348136;2678.6854
8;16978.736;32685;19723;14572;14503;0;1822.355795579542;2187.1636
9;11689.667;23583;14223;10595;10543;0;1769.949130671542;2106.2641
10;12693.384;29765;17984;13282;13197;0;3691.969693354281;4393.7413
11;1065.511;2677;1630;1209;1174;0;566.3791439810429;685.19091
12;1293.347;3465;2085;1594;1578;0;875.0254114770746;1055.2742
13;6740.861;15397;9373;6961;6895;0;1798.672424489556;2161.6783
14;7784.852;17058;10342;7602;7558;0;2257.974750750276;2700.8154
15;20771.475;46139;27797;20619;20610;0;3822.354578775597;4553.854
16;11264.098;18258;11055;8238;8190;0;2720.292259331695;3251.4672
17;13811.57;24504;14800;11003;10958;0;1578.611118071867;1889.4945
18;20611.942;40960;24642;18261;18229;0;3622.263194112887;4349.1261
19;15565.824;32329;19518;14498;14461;0;2196.24691001336;2624.2001
20;18343.287;37677;22710;16770;16723;0;3013.813095667604;3608.3911
21;166.899;361;219;161;149;0;203.8080057252388;241.42641
22;17299.704;36429;21990;16317;16272;0;2474.98553163957;2986.3667
23;3573.564;3582;2191;1618;1567;0;477.3048404006897;576.7645
24;6444.934;15285;9261;6791;6733;0;1714.178818739487;2060.2052
25;6894.141;13452;8126;6032;5981;0;1375.509597118643;1659.4823
26;19351.824;35929;21653;16040;16012;0;1765.052389959703;2121.7321
27;1392.186;3503;2138;1598;1568;0;630.0285619878912;763.56349
28;16050.697;37675;22711;16848;16811;0;2211.408965475845;2653.8154
29;21111.022;33339;20100;14927;14884;0;2806.908551744851;3383.7636
30;20.249;6;9;5;3;0;4.576491222541475;4.8284271
31;22036.138;38731;23373;17367;17311;0;3612.368106860673;4321.4276
32;13700.505;16911;10243;7548;7517;0;2984.663469935002;3564.9352
33;22490.593;33417;20160;14969;14945;0;2533.00214474644;3038.0408
34;25102.515;29933;18062;13326;13264;0;2253.458512022931;2715.5555
35;551.155;929;561;413;405;0;289.0466496620747;356.12489
36;2188.232;3979;2396;1786;1762;0;1024.974819489575;1232.9848
37;25184.124;33432;20159;14957;14931;0;2838.498707152953;3410.3372
