index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
0;11641.9;10514;10071;4322;4260;0;3218.272099770359;3836.2611
1;2459.308;2525;2408;1011;996;0;2396.355112790324;2856.0996
2;13655.493;13728;13096;5686;5675;0;3471.382500689757;4161.055
3;8624.85;9008;8627;3672;3622;0;2688.72422266831;3221.3961
4;457.024;512;493;196;189;0;492.9277401315892;598.13708
5;10977.388;10998;10513;4551;4493;0;2571.104043562544;3083.1118
6;9291.3;9263;8877;3855;3800;0;1897.970646065688;2280.3057
7;8371.909;8478;8124;3554;3525;0;2238.116065348136;2678.6854
8;11128.02;11313;10844;4661;4602;0;1822.355795579542;2187.1636
9;8012.248;8111;7785;3435;3392;0;1769.949130671542;2106.2641
10;10081.766;10273;9832;4228;4167;0;3691.969693354281;4393.7413
11;947.378;969;946;420;396;0;566.3791439810429;685.19091
12;1138.709;1208;1149;519;512;0;875.0254114770746;1055.2742
13;5312.87;5384;5161;2253;2205;0;1798.672424489557;2161.6783
14;5774.499;5880;5623;2403;2370;0;2257.974750750276;2700.8154
15;15787.281;15872;15125;6564;6556;0;3822.354578775597;4553.854
16;6130.549;6346;6075;2632;2591;0;2720.292259331695;3251.4672
17;8480.901;8433;8093;3542;3510;0;1578.611118071867;1889.4945
18;13960.94;14111;13458;5849;5828;0;3622.263194112887;4349.1261
19;11084.068;11122;10644;4667;4644;0;2196.24691001336;2624.2001
20;12981.563;12976;12414;5320;5282;0;3013.813095667604;3608.3911
21;130.541;130;128;58;50;0;203.8080057252388;241.42641
22;12590.507;12560;12008;5215;5182;0;2474.98553163957;2986.3667
23;1356.517;1294;1263;564;535;0;477.3048404006897;576.7645
24;5288.435;5361;5138;2184;2141;0;1714.178818739487;2060.2052
25;4633.661;4639;4469;1954;1918;0;1375.509597118643;1659.4823
26;12472.638;12404;11858;5144;5117;0;1765.052389959703;2121.7321
27;1228.442;1249;1209;550;532;0;630.0285619878912;763.56349
28;13119.591;12992;12412;5402;5378;0;2211.408965475845;2653.8154
29;11266.703;11479;10985;4785;4751;0;2806.908551744851;3383.7636
30;9.877;1;6;4;2;0;4.576491222541475;4.8284271
31;13445.531;13386;12790;5559;5516;0;3612.368106860673;4321.4276
32;5633.873;5792;5535;2346;2318;0;2984.663469935002;3564.9352
33;11329.096;11525;11007;4805;4787;0;2533.00214474644;3038.0408
34;10316.019;10351;9915;4253;4196;0;2253.458512022931;2715.5555
35;303.132;320;309;141;134;0;289.0466496620747;356.12489
36;1266.956;1349;1304;586;571;0;1024.974819489575;1232.9848
37;11421.848;11544;11038;4823;4797;0;2838.498707152953;3410.3372
38;3342.201;3583;3443;1505;1460;0;1961.450677173308;2377.1463
39;5870.939;6250;5962;2518;2492;0;3427.153034112641;4093.2022
