index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
0;24462.4;31665;12291;11865;9715;437;208.5878613739499;231.30866
1;134402.53;158961;62855;60797;50445;2003;634.1398758498735;710.02143
2;437.62;513;295;284;178;2;52.75867999569438;58.941125
3;204511.17;251652;89475;86830;77580;3666;571.0387465559361;633.55339
4;11672.281;15317;6733;6500;4951;202;203.5929885791322;228.45079
5;13513.668;17152;7875;7571;5757;173;267.3065147876773;291.88225
6;57994.425;71365;29886;28839;22995;883;474.0977325516889;527.09755
7;41525.678;52366;22483;21698;17147;661;380.3540382729917;418.97265
8;19326.178;24941;10779;10382;7944;283;299.2586596808281;328.42136
9;58941.398;72973;30680;29628;23604;891;500.9776279629721;558.34019
10;114583.3;138050;55172;53376;44238;1797;625.5419390456736;692.43564
11;37877.94;47861;19883;19196;15128;551;401.1319456974235;443.70058
12;14334.757;17918;8310;8016;6008;208;249.0116694497594;275.62237
13;86.365;92;69;62;35;0;21.51749697218684;23.656854
14;1416.648;1790;993;951;647;11;85.84512455753658;95.59798
15;192384.83;232436;90873;88084;73907;2969;653.0418960772611;727.99199
16;7013.527;9393;4364;4192;3073;94;196.2745176584476;213.29646
17;3902.283;5177;2517;2421;1769;46;132.5756249097592;147.39697
18;97353.878;123167;46068;44594;38113;1589;444.1107274866882;480.6518
19;10114.066;13211;6134;5900;4432;139;193.330987135754;217.06602
20;111.565;126;100;90;50;0;25.94702506064144;30.485281
21;921.459;1183;685;657;439;4;79.2409785644839;90.254834
22;60746.106;77186;30383;29387;24071;860;454.6475576689899;493.46299
23;25158.233;32441;13598;13098;10303;345;339.8121616892022;363.71068
24;19052.506;25058;10482;10098;7899;255;266.0290445925635;286.56854
25;80065.874;95213;39169;37844;30855;1242;544.6451205994765;605.16861
26;104993.3;128928;52004;50282;40875;1634;589.0842211096616;652.9798
27;38363.613;49993;18813;18209;15805;755;234.0058625221467;262.5513
28;20878.463;26938;11588;11228;8578;294;334.0469786204684;361.6518
29;63411.739;80786;31819;30729;25227;942;470.5929010812185;505.6518
30;31875.397;40799;16829;16224;12776;429;399.0426904963983;426.02439
31;2451.983;3292;1519;1472;1055;35;91.15292147618609;98.213203
32;26498.65;33592;14607;14100;11184;474;287.1763155538002;322.26198
33;110862.11;132350;54179;52442;42842;1667;670.1476011922147;748.54834
34;68213.476;83576;34220;33043;27085;1097;432.0679295389771;482.60007
35;4419.791;5696;2749;2640;1959;67;139.9395869408195;158.53911
36;32703.119;42577;17035;16497;13847;716;187.5231341770457;211.45079
37;332.866;433;258;243;158;2;36.0025131208878;39.313708
38;70326.541;86512;34888;33784;27113;1016;539.0546168062883;594.6417
39;19797.061;25173;11112;10707;8268;304;332.768542622347;364.56349
40;13.13;2;7;5;3;0;1;1
41;31834.832;40829;17269;16669;12998;499;401.5255242340758;439.11984
42;113836.35;140181;55433;53672;44581;1841;609.5183552456712;674.87929
43;48682.928;62563;25161;24325;19812;813;416.1675873519028;453.8772
44;108175.82;133266;54225;52414;42939;1679;517.0668028803206;579.58283
45;93010.244;115668;45783;44259;36136;1429;548.6774866530716;605.28636
46;104560.78;127435;49765;48160;40090;1630;560.491844682255;621.72496
47;98954.01;122174;48416;46833;39014;1636;553.6131085021983;618.41125
48;63235.172;77613;32784;31665;25546;1005;501.8441516892946;562.34019
49;3834.863;4938;2469;2384;1704;44;149.5158314562201;166.16652
50;17957.637;23650;10044;9714;7532;223;285.1336468862233;306.19596
51;9578.429;12217;5789;5571;3949;85;338.5944938583245;363.46804
