index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
0;11461.3;13495;11588;11176;8262;508;208.5878613739499;231.30866
1;72313.519;67431;58701;56546;42846;2735;634.1398758498735;710.02143
2;237.757;167;263;250;110;0;52.75867999569438;58.941125
3;118086.38;111003;83531;80680;69009;4775;571.0387465559361;633.55339
4;5261.467;6177;6268;6028;3906;191;203.5929885791322;228.45079
5;5790.892;6661;7115;6780;4338;80;267.3065147876773;291.88225
6;28290.42;29726;27895;26863;18912;1180;474.0977325516889;527.09755
7;20199.117;21742;20958;20185;13694;732;380.3540382729917;418.97265
8;8924.569;10022;10049;9669;6295;251;299.2586596808284;328.42136
9;29787.843;30220;28636;27637;19100;1009;500.9776279629721;558.34019
10;60443.21;59188;51508;49708;37475;2302;625.5419390456736;692.43564
11;18265.004;20419;19214;18473;12659;698;401.1319456974235;443.70058
12;6484.937;7524;7779;7520;4732;175;249.011669449759;275.62237
13;40.99;27;51;46;20;0;21.51749697218684;23.656854
14;583.628;653;905;872;438;1;85.84512455753655;95.59798
15;143779.75;101016;85625;82705;63542;4094;653.041896077261;727.99199
16;4753.231;3662;4045;3889;2352;48;196.2745176584476;213.29646
17;1851.412;2110;2358;2252;1313;32;132.5756249097597;147.39697
18;47488.383;52752;42260;40740;32503;1448;444.1107274866881;480.6518
19;4773.622;5578;5652;5457;3474;109;193.330987135754;217.06602
20;65.732;36;99;91;28;0;25.94702506064144;30.485281
21;415.283;426;617;592;273;2;79.2409785644839;90.254834
22;29065.869;32793;28503;27515;20169;782;454.6475576689899;493.46299
23;11343.226;13454;12776;12228;8364;250;339.8121616892021;363.71068
24;8183.982;9905;9545;9162;6149;177;266.0290445925635;286.56854
25;38412.546;39925;36258;34968;25414;1534;544.6451205994765;605.16861
26;55362.643;54290;49384;47695;34429;2033;589.0842211096616;652.9798
27;18592.964;22023;17660;17029;13808;924;234.0058625221467;262.5513
28;9799.437;10914;10895;10510;6926;234;334.0469786204683;361.6518
29;31131.12;34274;29231;28146;20997;794;470.5929010812185;505.6518
30;14346.53;16664;15495;14921;10240;319;399.0426904963982;426.02439
31;1116.221;1262;1439;1399;842;25;91.15292147618609;98.213203
32;12418.684;14275;13621;13059;9078;595;287.1763155538004;322.26198
33;57705.176;56024;50363;48494;35397;2091;670.1476011922147;748.54834
34;33760.907;35358;31898;30683;22510;1326;432.0679295389771;482.60007
35;1981.358;2245;2471;2371;1462;61;139.9395869408195;158.53911
36;14905.802;17691;15617;15050;11547;918;187.5231341770457;211.45079
37;195.364;191;291;284;145;0;36.0025131208878;39.313708
38;34886.943;36534;33121;31942;22682;1091;539.0546168062882;594.6417
39;8956.759;10339;10202;9807;6425;212;332.7685426223472;364.56349
40;16.426;1;14;12;2;0;1;1
41;15336.699;16946;16294;15699;10684;420;401.5255242340758;439.11984
42;59178.183;59163;51727;49939;37631;2300;609.5183552456712;674.87929
43;22507.914;26462;23178;22384;16358;667;416.1675873519028;453.8772
44;56240.887;56838;51063;49155;36199;2289;517.0668028803206;579.58283
45;46160.65;49682;43504;42039;31016;1540;548.6774866530716;605.28636
46;53207.304;54272;46495;44781;34053;2092;560.491844682255;621.72496
47;52122.818;52158;45302;43673;33181;2094;553.6131085021984;618.41125
48;31716.928;32752;30680;29495;21036;1245;501.8441516892947;562.34019
49;1620.339;1971;2221;2136;1204;25;149.5158314562201;166.16652
50;8097.073;9666;9451;9120;6068;203;285.1336468862233;306.19596
51;4037.862;4658;5259;5057;2992;61;338.5944938583241;363.46804
52;232.098;230;323;311;162;0;50.75503278668105;57.455844
53;31778.107;31235;29671;28672;19958;1028;506.1894716691563;559.13918
54;8615.067;9448;9807;9406;6091;288;250.0709973763022;278.73506
55;31211.578;31324;28507;27413;19693;1101;472.615833998611;524.6417
56;3689.281;4087;4403;4220;2641;47;244.1380438967652;266.02439
57;37927.169;38487;34459;33181;23927;1216;508.0683646167822;560.38687
58;101944.76;89465;74911;72200;56786;3907;643.2717627620459;717.74935
59;520.659;430;716;679;296;0;97.0444334507994;106.28427
60;66273.833;60077;51682;49900;37432;2178;549.1716514414155;608.45289
61;142178.33;126326;99289;95810;79793;5831;678.710007089185;760.54834
62;2315.805;2762;3157;3056;1747;30;234.3603820538187;254.91169
63;12395.042;14840;14952;14383;9265;360;388.4548084052914;430.00209
64;6119.246;7651;7976;7670;4865;107;242.6039202312911;263.2254
65;24348.17;26692;25956;24932;16779;828;510.7263707855099;565.41125
66;7604.691;8249;8754;8379;5214;214;311.6344954498109;347.9899
67;4511.427;5179;5648;5433;3407;145;248.6419812900816;279.56349
68;9719.038;11343;11200;10749;7125;336;305.8320535202444;341.06097
69;27265.231;28091;27228;26190;18056;994;528.4093184378424;592.89654
70;3172.201;3653;4456;4260;2348;93;224.0349844884724;248.7645
71;20751.742;22874;21470;20658;14431;522;437.4812160409878;469.48023
72;427.756;435;654;619;288;9;97.20527580987394;109.15433
73;3064.356;3748;3879;3714;2442;68;148.8037359289899;162.95332
74;12707.164;15172;14524;13896;9394;224;335.5841505657774;359.88225
75;39178.809;41102;36544;35223;25885;1467;509.6600819854535;567.47013
76;5840.779;6364;6682;6399;4001;102;293.4439723208234;322.89444
77;43953.731;45259;38766;37388;28268;1376;523.5378881559631;577.14423
78;43628.238;44832;40986;39393;28486;1700;578.1912056196868;643.32294
79;1457.257;1705;1976;1885;1078;34;130.01867389278;144.78175
