exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
0;AnyaSearch;18525;18482;1275;1339;2579;(103,292);(271,178);425.97265472;400.76317674174993;AR0500SR.map
1;AnyaSearch;2033;2025;183;214;394;(239,37);(133,203);220.00714264;207.49137748520047;AR0500SR.map
2;AnyaSearch;4635;4630;566;626;1164;(285,144);(29,219);506.58787842;479.1381336363166;AR0500SR.map
3;AnyaSearch;10276;3702;598;667;1235;(241,150);(7,220);441.40411224;418.3407198029644;AR0500SR.map
4;AnyaSearch;1575;1573;480;538;992;(254,168);(90,229);399.27416992;374.8230974128245;AR0500SR.map
5;AnyaSearch;12642;5866;1336;1393;2698;(105,210);(253,166);381.54624786;358.8693100451681;AR0500SR.map
6;AnyaSearch;10708;3740;1195;1261;2425;(172,228);(264,167);357.67619018;333.32352212538746;AR0500SR.map
7;AnyaSearch;3637;3633;1427;1499;2869;(6,247);(260,171);484.31580047;456.35130893101143;AR0500SR.map
8;AnyaSearch;2644;335;109;136;244;(13,258);(185,167);216.37972565;205.13562154235632;AR0500SR.map
9;AnyaSearch;6788;404;132;164;295;(247,37);(109,246);266.16147156;254.44351575328926;AR0500SR.map
10;AnyaSearch;2615;856;317;351;659;(165,72);(134,167);200.7106781;191.24807068545599;AR0500SR.map
11;AnyaSearch;2296;36;2;6;7;(277,34);(209,33);68.41421356;68.00735254367721;AR0500SR.map
12;AnyaSearch;2583;362;129;150;276;(232,133);(90,253);228.24978332;217.4370413455429;AR0500SR.map
13;AnyaSearch;3009;3007;1107;1171;2249;(168,227);(305,190);372.23253937;346.9324552663953;AR0500SR.map
14;AnyaSearch;2524;293;147;171;317;(180,233);(8,254);202.58073578;191.95444533847936;AR0500SR.map
15;AnyaSearch;1096;1093;647;717;1331;(229,157);(81,192);387.27416992;363.6479025151102;AR0500SR.map
16;AnyaSearch;2271;2269;1331;1401;2687;(21,240);(291,189);472.1442276;445.2971996814076;AR0500SR.map
17;AnyaSearch;2387;789;514;577;1067;(289,149);(63,299);507.02647857;481.1809119740379;AR0500SR.map
18;AnyaSearch;1736;1734;1021;1085;2075;(185,189);(297,192);313.63455963;296.29743579203904;AR0500SR.map
19;AnyaSearch;2218;730;416;471;871;(210,33);(86,190);276.46298675;260.09199278546134;AR0500SR.map
20;AnyaSearch;2300;36;2;3;4;(44,314);(25,311);20.24264069;19.235384061671343;AR0500SR.map
21;AnyaSearch;1125;1123;609;662;1256;(14,263);(300,64);411.03152923;387.941817911385;AR0500SR.map
22;AnyaSearch;3315;454;336;375;689;(304,186);(154,106);268.20815277;251.7143441397352;AR0500SR.map
23;AnyaSearch;2377;331;175;201;375;(100,213);(143,126);149.58073578;144.2603592241655;AR0500SR.map
24;AnyaSearch;1039;1037;560;610;1166;(11,304);(295,82);407.5290039;386.1659562737335;AR0500SR.map
25;AnyaSearch;3557;230;118;141;257;(178,179);(208,27);172.7106781;163.5803906785912;AR0500SR.map
26;AnyaSearch;2722;374;287;309;585;(248,187);(160,103);295.37972565;273.61150610530785;AR0500SR.map
27;AnyaSearch;1878;255;129;153;281;(126,219);(244,54);215.04877319;208.1321069485868;AR0500SR.map
28;AnyaSearch;2164;299;187;222;408;(261,94);(92,273);285.84776306;271.06018876671646;AR0500SR.map
29;AnyaSearch;2139;287;57;74;130;(169,151);(19,313);235.40411224;228.90620577423957;AR0500SR.map
30;AnyaSearch;2464;2462;1488;1566;3002;(8,237);(245,159);498.1442276;469.37703596072726;AR0500SR.map
31;AnyaSearch;2599;353;188;224;411;(78,270);(211,97);231.01933594;224.3106705187768;AR0500SR.map
32;AnyaSearch;2281;748;486;544;1005;(282,142);(86,257);467.74220733;444.19401565617966;AR0500SR.map
33;AnyaSearch;3824;29;4;6;9;(252,115);(245,112);8.24264069;7.615773105863909;AR0500SR.map
34;AnyaSearch;2321;2319;1381;1440;2787;(87,178);(279,188);433.87214966;409.43706548109196;AR0500SR.map
35;AnyaSearch;2430;330;201;230;430;(62,272);(153,181);156.1076477;149.89239743599836;AR0500SR.map
36;AnyaSearch;3694;59;25;33;57;(16,243);(70,201);71.3969696;68.41052550594829;AR0500SR.map
37;AnyaSearch;2127;285;172;200;371;(252,20);(186,187);200.13708496;190.60524414951442;AR0500SR.map
38;AnyaSearch;2530;835;508;577;1060;(287,58);(55,218);340.87720032;324.3202176553145;AR0500SR.map
39;AnyaSearch;2077;2075;1239;1304;2508;(40,295);(259,137);414.42849884;395.2773433974015;AR0500SR.map
40;AnyaSearch;2536;2533;1453;1523;2935;(89,305);(256,161);469.8427124;442.08214129848795;AR0500SR.map
41;AnyaSearch;2372;156;93;113;205;(185,152);(64,301);199.119841;192.47215024466303;AR0500SR.map
42;AnyaSearch;2656;865;559;615;1146;(237,150);(49,212);400.09040375;379.2500048969307;AR0500SR.map
43;AnyaSearch;2871;937;523;575;1081;(3,271);(273,35);412.35743103;390.60648667335;AR0500SR.map
