exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
0;AnyaSearch;1097;1079;5;11;15;(538,731);(659,721);125.14213562;121.41251994749142;Milan_1_1024.map
1;AnyaSearch;4654;4653;362;396;748;(341,30);(139,963);1169.05295715;1094.3286311537452;Milan_1_1024.map
2;AnyaSearch;2164;149;2;7;8;(573,722);(124,774);470.53910522;452.0011061933367;Milan_1_1024.map
3;AnyaSearch;5591;203;67;95;161;(1002,541);(672,485);387.94826813;366.60477285244656;Milan_1_1024.map
4;AnyaSearch;4247;197;29;45;73;(171,621);(565,542);446.60512237;414.8969195803055;Milan_1_1024.map
5;AnyaSearch;2622;86;9;18;26;(761,771);(349,440);549.10468902;528.5478925041965;Milan_1_1024.map
6;AnyaSearch;1636;529;307;325;631;(353,295);(808,274);525.00209198;485.6146433715604;Milan_1_1024.map
7;AnyaSearch;19342;19340;6275;6890;12767;(983,1023);(291,47);1465.55461577;1412.2612456144936;Milan_1_1024.map
8;AnyaSearch;2588;908;188;250;432;(146,920);(769,339);884.16060485;864.7096782254876;Milan_1_1024.map
9;AnyaSearch;2320;36;2;7;8;(432,28);(319,78);133.7106781;123.5677951571525;Milan_1_1024.map
10;AnyaSearch;2891;89;6;11;16;(164,481);(44,657);225.70562744;213.01643129110957;Milan_1_1024.map
11;AnyaSearch;3462;114;68;96;163;(981,496);(837,314);248.09040375;237.35281826441096;Milan_1_1024.map
12;AnyaSearch;2542;80;40;52;91;(493,540);(348,862);382.06096649;353.1416146533852;Milan_1_1024.map
13;AnyaSearch;1611;525;336;378;712;(306,549);(231,10);631.36962433;583.6590477531128;Milan_1_1024.map
14;AnyaSearch;4894;4892;2019;2276;4181;(860,1006);(973,3);1140.10468902;1081.6749648020548;Milan_1_1024.map
15;AnyaSearch;2313;148;87;104;189;(443,761);(491,972);248.82337646;232.3189684655228;Milan_1_1024.map
16;AnyaSearch;1146;1144;563;595;1156;(150,15);(153,939);1162.72705535;1078.4403166844554;Milan_1_1024.map
17;AnyaSearch;3028;47;26;34;59;(277,635);(566,796);355.68838348;330.82019285406386;Milan_1_1024.map
18;AnyaSearch;3564;54;23;29;51;(796,953);(791,849);106.07106781;104.12012293500234;Milan_1_1024.map
19;AnyaSearch;1804;590;217;251;467;(620,272);(133,696);686.05800781;658.7740878859161;Milan_1_1024.map
20;AnyaSearch;3055;200;122;149;270;(591,774);(127,316);674.79812316;655.0566909247659;Milan_1_1024.map
21;AnyaSearch;3424;3421;1692;1864;3486;(802,469);(591,187);547.14927826;517.7552745627163;Milan_1_1024.map
22;AnyaSearch;1307;1304;504;585;1074;(195,886);(174,111);896.13917694;849.2220963762702;Milan_1_1024.map
23;AnyaSearch;2425;336;70;103;172;(52,713);(672,364);768.6610382;720.4424508970883;Milan_1_1024.map
24;AnyaSearch;1767;586;220;254;473;(419,817);(106,258);691.5777771;654.7939717932277;Milan_1_1024.map
25;AnyaSearch;3520;27;8;16;23;(607,809);(703,795);101.79898987;97.01546268507923;Milan_1_1024.map
26;AnyaSearch;3379;53;44;54;97;(554,623);(859,710);341.03657989;317.1655719021218;Milan_1_1024.map
