exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
0;AnyaSearch;120684;120641;8205;19046;18282;(186,224);(3,312);231.30865784;208.58786137394995;random512-20-0.map
1;AnyaSearch;335397;147545;41861;97224;94495;(436,482);(0,34);710.02142791;634.1398758498735;random512-20-0.map
2;AnyaSearch;2330;708;119;269;359;(389,211);(431,180);58.94112549;52.75867999569438;random512-20-0.map
3;AnyaSearch;812998;178798;67738;155275;144267;(18,58);(491,355);633.5533905;571.0387465559361;random512-20-0.map
4;AnyaSearch;28935;8633;4115;9416;9922;(389,277);(267,435);228.45079346;203.59298857913222;random512-20-0.map
5;AnyaSearch;10311;10308;4824;11416;12117;(92,97);(129,358);291.88225098;267.3065147876773;random512-20-0.map
6;AnyaSearch;47294;47290;18255;42759;42329;(27,130);(357,461);527.09754638;474.09773255168886;random512-20-0.map
7;AnyaSearch;32285;32282;13184;30561;31079;(305,142);(66,428);418.97265472;380.3540382729917;random512-20-0.map
8;AnyaSearch;15950;15947;7047;16865;17532;(481,180);(374,456);328.4213562;299.25865968082815;random512-20-0.map
9;AnyaSearch;47940;47936;18716;43293;43404;(500,161);(111,466);558.34018707;500.9776279629721;random512-20-0.map
10;AnyaSearch;94947;94940;37939;88196;86604;(415,498);(30,16);692.43564148;625.5419390456736;random512-20-0.map
11;AnyaSearch;44615;44610;12708;30006;30076;(11,491);(249,176);443.70057678;401.13194569742353;random512-20-0.map
12;AnyaSearch;7423;7419;4334;10037;10439;(30,341);(249,448);275.62236633;249.01166944975944;random512-20-0.map
13;AnyaSearch;4331;78;35;95;124;(496,429);(497,450);23.65685425;21.51749697218684;random512-20-0.map
14;AnyaSearch;2489;801;414;953;1099;(136,369);(213,402);95.59797974;85.84512455753658;random512-20-0.map
15;AnyaSearch;232069;114433;47446;109789;105986;(494,458);(22,21);727.99199066;653.0418960772611;random512-20-0.map
16;AnyaSearch;3151;3147;2131;4830;5193;(77,394);(262,337);213.29646454;196.27451765844765;random512-20-0.map
17;AnyaSearch;1847;1844;1434;3370;3741;(233,425);(276,302);147.3969696;132.5756249097592;random512-20-0.map
18;AnyaSearch;60182;60179;28099;65587;63914;(86,75);(131,510);480.65180359;444.1107274866882;random512-20-0.map
19;AnyaSearch;4680;4678;3295;7471;7918;(451,371);(291,472);217.06601715;193.33098713575401;random512-20-0.map
20;AnyaSearch;2701;42;27;59;83;(364,23);(340,29);30.48528137;25.947025060641437;random512-20-0.map
21;AnyaSearch;2081;267;268;599;769;(180,250);(243,206);90.25483398;79.2409785644839;random512-20-0.map
22;AnyaSearch;86649;39568;19237;43922;42826;(458,384);(28,510);493.46298675;454.64755766898986;random512-20-0.map
23;AnyaSearch;16754;16750;9146;21760;22536;(314,63);(336,398);363.7106781;339.8121616892022;random512-20-0.map
24;AnyaSearch;12284;12279;7024;17189;17359;(343,20);(363,282);286.56854248;266.0290445925635;random512-20-0.map
25;AnyaSearch;49737;49729;23227;54358;52762;(37,184);(490,475);605.16861419;544.6451205994765;random512-20-0.map
26;AnyaSearch;68817;68813;31382;72905;71486;(33,488);(481,119);652.97979736;589.0842211096616;random512-20-0.map
27;AnyaSearch;28158;28153;14128;33073;31468;(161,252);(269,54);262.55129852;234.00586252214666;random512-20-0.map
28;AnyaSearch;13784;13780;7503;18043;18735;(75,452);(2,130);361.65180359;334.0469786204684;random512-20-0.map
29;AnyaSearch;79810;37267;18909;43483;41617;(20,86);(484,119);505.65180359;470.59290108121854;random512-20-0.map
30;AnyaSearch;16365;16361;9404;21762;21340;(52,292);(446,326);426.0243866;399.04269049639834;random512-20-0.map
31;AnyaSearch;1553;1549;991;2585;2636;(218,295);(206,384);98.21320343;91.1529214761861;random512-20-0.map
32;AnyaSearch;17333;17323;8789;20686;20577;(202,204);(408,397);322.26197662;287.1763155538002;random512-20-0.map
33;AnyaSearch;97634;97628;35058;81631;80190;(3,0);(463,476);748.54833984;670.1476011922147;random512-20-0.map
34;AnyaSearch;47244;47238;22128;51159;50294;(112,3);(430,283);482.60007171;432.0679295389771;random512-20-0.map
35;AnyaSearch;2404;2401;1615;3709;4103;(97,470);(169,353);158.53910522;139.9395869408195;random512-20-0.map
36;AnyaSearch;16875;16871;9025;21422;20293;(168,196);(296,69);211.45079346;187.52313417704573;random512-20-0.map
37;AnyaSearch;3888;118;137;345;395;(416,98);(408,132);39.3137085;36.0025131208878;random512-20-0.map
38;AnyaSearch;44983;44979;21187;50004;48335;(493,163);(17,403);594.64170227;539.0546168062883;random512-20-0.map
39;AnyaSearch;29347;12945;5980;14210;14034;(72,317);(378,198);364.56349182;332.76854262234696;random512-20-0.map
40;AnyaSearch;2028;32;3;15;17;(38,483);(39,483);1.0;1.0;random512-20-0.map
41;AnyaSearch;28476;28472;11452;27334;28070;(277,504);(414,131);439.119841;401.52552423407576;random512-20-0.map
42;AnyaSearch;101845;101841;38682;90956;88281;(405,20);(57,511);674.87929229;609.5183552456712;random512-20-0.map
43;AnyaSearch;29948;29942;15181;35631;34057;(29,63);(419,194);453.87720032;416.1675873519028;random512-20-0.map
