exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
0;AStar;2679;2643;122;969;510;(538,731);(659,721);125.14213562;125.14213538169861;Milan_1_1024.map;
1;AStar;90287;90279;38651;303533;123454;(341,30);(139,963);1169.05295715;1166.4671598672867;Milan_1_1024.map;
2;AStar;2506;309;450;3593;1906;(573,722);(124,774);470.53910522;470.53910398483276;Milan_1_1024.map;
3;AStar;9586;9583;10439;81414;33930;(1002,541);(672,485);387.94826813;385.9482651948929;Milan_1_1024.map;
4;AStar;3988;3986;4292;33831;14181;(171,621);(565,542);446.60512237;446.6051193475723;Milan_1_1024.map;
5;AStar;2430;303;413;3286;2309;(761,771);(349,440);549.10468902;549.1046811342239;Milan_1_1024.map;
6;AStar;16359;16355;15444;119566;51795;(353,295);(808,274);525.00209198;524.1736608743668;Milan_1_1024.map;
7;AStar;1120327;506725;318597;2514526;924158;(983,1023);(291,47);1465.55461577;1461.7972366809845;Milan_1_1024.map;
8;AStar;5336;5332;5655;44745;18503;(146,920);(769,339);884.16060485;882.9890189170837;Milan_1_1024.map;
9;AStar;2162;64;114;905;558;(432,28);(319,78);133.7106781;133.71067690849304;Milan_1_1024.map;
10;AStar;2901;88;177;1409;950;(164,481);(44,657);225.70562744;225.7056245803833;Milan_1_1024.map;
11;AStar;1978;1975;1414;10971;4763;(981,496);(837,314);248.09040375;247.50461411476135;Milan_1_1024.map;
12;AStar;3774;222;415;3225;1836;(493,540);(348,862);382.06096649;382.0609630346298;Milan_1_1024.map;
13;AStar;144890;65126;47023;371599;157953;(306,549);(231,10);631.36962433;631.369619011879;Milan_1_1024.map;
14;AStar;151867;151862;109559;861624;353012;(860,1006);(973,3);1140.10468902;1138.4478269815445;Milan_1_1024.map;
15;AStar;2853;2850;3149;24309;10373;(443,761);(491,972);248.82337646;245.99494767189026;Milan_1_1024.map;
16;AStar;50416;50411;37884;295032;125475;(150,15);(153,939);1162.72705535;1161.312831878662;Milan_1_1024.map;
17;AStar;2298;298;498;3797;2054;(277,635);(566,796);355.68838348;355.6883796453476;Milan_1_1024.map;
18;AStar;2967;45;105;833;432;(796,953);(791,849);106.07106781;106.0710676908493;Milan_1_1024.map;
19;AStar;7445;7442;5837;44607;18084;(620,272);(133,696);686.05800781;686.0579986572266;Milan_1_1024.map;
20;AStar;29040;29036;22767;181321;68988;(591,774);(127,316);674.79812316;674.2123266458511;Milan_1_1024.map;
21;AStar;146041;146035;82109;644912;221628;(802,469);(591,187);547.14927826;544.0782079696655;Milan_1_1024.map;
22;AStar;367831;164601;125509;998780;464386;(195,886);(174,111);896.13917694;893.8965303897858;Milan_1_1024.map;
23;AStar;61426;61420;54992;437551;167528;(52,713);(672,364);768.6610382;768.6610300540924;Milan_1_1024.map;
24;AStar;52219;52214;52594;418386;159530;(419,817);(106,258);691.5777771;690.991983294487;Milan_1_1024.map;
25;AStar;3370;52;97;769;418;(607,809);(703,795);101.79898987;101.79898953437805;Milan_1_1024.map;
26;AStar;3506;222;306;2441;1400;(554,623);(859,710);341.03657989;341.0365778207779;Milan_1_1024.map;
27;AStar;183497;183492;131362;1042884;399374;(988,2);(160,1014);1373.12820891;1371.9566169977188;Milan_1_1024.map;
28;AStar;177984;177978;101911;806617;302617;(525,582);(1009,242);697.49451599;694.6660823822021;Milan_1_1024.map;
29;AStar;24416;4016;5050;39695;16128;(656,710);(113,955);644.48232269;644.4823168516159;Milan_1_1024.map;
30;AStar;419755;419749;262550;2084134;802363;(2,781);(972,165);1272.65302886;1270.6530133485794;Milan_1_1024.map;
31;AStar;38941;38935;21895;172457;63083;(827,129);(177,772);967.30274047;967.3027272224426;Milan_1_1024.map;
32;AStar;7357;7354;7450;58523;24509;(1012,932);(134,314);1149.2144287;1148.6286281347275;Milan_1_1024.map;
33;AStar;2262;17;30;233;148;(536,676);(523,647);34.38477631;34.38477599620819;Milan_1_1024.map;
34;AStar;79897;79893;46096;367659;140224;(15,1004);(994,15);1419.11810759;1417.9465123414993;Milan_1_1024.map;
35;AStar;13285;13280;13782;107000;40678;(32,29);(842,1014);1458.86623229;1457.4520028829575;Milan_1_1024.map;
36;AStar;13182;13177;11591;89227;35982;(109,70);(990,830);1267.43477477;1262.2631850242615;Milan_1_1024.map;
37;AStar;11419;11414;13174;104861;40629;(47,651);(931,817);952.75945129;952.7594473361969;Milan_1_1024.map;
38;AStar;3102;3098;2979;23050;9999;(474,919);(397,331);630.43860016;629.2081507444382;Milan_1_1024.map;
39;AStar;220540;220536;114517;908950;336898;(444,666);(970,207);791.27121124;789.2712017297745;Milan_1_1024.map;
40;AStar;2458;5;10;73;54;(288,608);(297,614);11.48528137;11.485281229019165;Milan_1_1024.map;
41;AStar;3550;465;610;4666;2445;(1013,796);(467,715);580.37972565;580.3797236680984;Milan_1_1024.map;
42;AStar;2267;282;380;3033;2080;(799,597);(520,976);494.5655838;494.5655771493912;Milan_1_1024.map;
43;AStar;164064;75591;64790;510157;200962;(965,56);(2,710);1250.82460174;1248.8245862722397;Milan_1_1024.map;
44;AStar;2196;2192;2480;19729;8226;(44,583);(658,674);651.69343414;651.6934319734573;Milan_1_1024.map;
45;AStar;813790;813783;410859;3254280;1191262;(750,970);(1,35);1415.31493377;1413.3149198293686;Milan_1_1024.map;
46;AStar;641118;641112;326273;2575018;930222;(972,685);(313,87);1387.09162902;1381.920039176941;Milan_1_1024.map;
47;AStar;69102;69096;38311;303865;145619;(760,782);(754,120);697.62236633;695.9655101299286;Milan_1_1024.map;
48;AStar;67089;67084;46884;370688;156720;(71,133);(243,919);894.74220733;894.156415939331;Milan_1_1024.map;
