exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map;
0;AStar;283482;84431;166801;1000903;394003;(410,37);(13,340);3836.26110992;3343.0693148374557;maze512-2-5.map;
1;AStar;18611;18603;41331;247894;98215;(471,70);(122,68);2856.09963836;2493.9128988981247;maze512-2-5.map;
2;AStar;322578;152117;218889;1312157;519840;(230,216);(407,101);4161.05504913;3619.1597154140472;maze512-2-5.map;
3;AStar;99489;99484;144602;867659;341720;(412,14);(359,310);3221.3961029;2800.0794194936752;maze512-2-5.map;
4;AStar;3811;3807;7238;43265;17097;(476,271);(478,182);598.13708496;514.3624787330627;maze512-2-5.map;
5;AStar;129493;129488;173287;1039993;408893;(79,124);(52,224);3083.11183166;2669.6530133485794;maze512-2-5.map;
6;AStar;124443;124439;145146;870909;343592;(148,216);(475,511);2280.30569915;1972.236711859703;maze512-2-5.map;
7;AStar;213092;101080;134247;804940;317161;(204,263);(441,427);2678.6854248;2328.599190592766;maze512-2-5.map;
8;AStar;133657;133653;177950;1067783;420613;(374,215);(44,132);2187.16356353;1892.3666546344757;maze512-2-5.map;
9;AStar;92710;92707;127853;766844;300576;(61,295);(35,491);2106.2640686;1834.739238023758;maze512-2-5.map;
10;AStar;94847;94844;163111;978713;385205;(506,88);(47,265);4393.74134063;3839.360725879669;maze512-2-5.map;
11;AStar;9005;9000;14169;85210;34260;(74,274);(283,218);685.19090881;592.7716399431229;maze512-2-5.map;
12;AStar;10912;10909;18075;108503;42841;(30,2);(98,115);1055.27416992;907.4823168516159;maze512-2-5.map;
13;AStar;122808;59009;82236;493796;193834;(80,209);(323,416);2161.67828216;1869.4671598672867;maze512-2-5.map;
14;AStar;59892;59888;94037;564241;222194;(418,10);(271,355);2700.81536712;2349.17278444767;maze512-2-5.map;
15;AStar;188729;188726;253900;1522062;604284;(58,438);(474,85);4553.85403899;3971.6155591011047;maze512-2-5.map;
16;AStar;62254;62251;99395;596681;234352;(9,89);(67,359);3251.46717071;2824.6357684135437;maze512-2-5.map;
17;AStar;109933;109930;133342;799683;315319;(113,357);(283,143);1889.49451599;1638.8986183404922;maze512-2-5.map;
18;AStar;165901;165898;224007;1342989;528894;(42,388);(31,140);4349.12611694;3755.4317935705185;maze512-2-5.map;
19;AStar;140217;140213;176662;1059135;417769;(49,369);(177,68);2624.20014343;2281.5281229019165;maze512-2-5.map;
20;AStar;152726;152722;207443;1243872;489863;(274,66);(439,446);3608.39105224;3134.22869515419;maze512-2-5.map;
21;AStar;2007;619;1621;9766;3984;(289,53);(355,60);241.42640686;209.81118214130402;maze512-2-5.map;
22;AStar;152763;152756;199542;1196288;473678;(188,430);(240,19);2986.36666564;2577.292622566223;maze512-2-5.map;
23;AStar;12507;12504;18955;113976;44516;(256,305);(251,419);576.76450195;496.0609630346298;maze512-2-5.map;
24;AStar;54619;54615;83671;502371;197917;(210,73);(304,437);2060.20519409;1785.6925555467606;maze512-2-5.map;
25;AStar;50810;50806;73206;438793;172303;(502,475);(202,458);1659.48232269;1430.016368508339;maze512-2-5.map;
26;AStar;313916;153601;197509;1184085;465300;(376,277);(206,230);2121.73210601;1838.047894001007;maze512-2-5.map;
27;AStar;11270;11266;18433;110232;43820;(447,473);(302,368);763.56349182;655.345233798027;maze512-2-5.map;
28;AStar;157658;157656;205323;1230839;485125;(257,387);(89,94);2653.81536712;2293.58699798584;maze512-2-5.map;
29;AStar;137333;137329;182864;1096264;434523;(184,232);(401,172);3383.76363525;2923.7017837762833;maze512-2-5.map;
30;AStar;3390;2;5;32;25;(129,323);(131,319);4.82842712;4.828427076339722;maze512-2-5.map;
31;AStar;155598;155595;211692;1269761;497545;(13,178);(70,500);4321.42763213;3745.8338145017624;maze512-2-5.map;
32;AStar;56541;56537;93794;562784;221893;(491,134);(404,298);3564.93520812;3107.944424390793;maze512-2-5.map;
33;AStar;141944;141939;182548;1094330;430892;(12,443);(185,143);3038.04076385;2627.7535185813904;maze512-2-5.map;
34;AStar;122789;122785;164729;988538;387881;(175,64);(182,414);2715.55548248;2347.268237352371;maze512-2-5.map;
35;AStar;2950;2947;4688;28169;11124;(421,303);(493,325);356.12489166;300.6518018245697;maze512-2-5.map;
36;AStar;12020;12016;21340;128203;50522;(264,218);(134,286);1232.98484802;1068.790972828865;maze512-2-5.map;
37;AStar;138654;138648;182517;1094193;430102;(22,325);(166,149);3410.33722839;2948.2337474823;maze512-2-5.map;
38;AStar;31952;31948;54298;326069;128431;(452,198);(426,397);2377.14631958;2044.2905346155167;maze512-2-5.map;
39;AStar;110652;52251;100263;601517;237298;(485,52);(41,55);4093.20223541;3558.9810022115707;maze512-2-5.map;
40;AStar;155092;155086;214603;1286468;510476;(404,504);(463,44);3278.12402496;2847.8784090280533;maze512-2-5.map;
41;AStar;162484;162480;225242;1350293;534721;(440,200);(451,42);4115.48650665;3570.7211166620255;maze512-2-5.map;
42;AStar;55948;55945;89061;534691;210711;(368,10);(309,418);2906.76868591;2515.6530133485794;maze512-2-5.map;
43;AStar;1389;1387;3807;22729;8993;(505,280);(487,316);339.53910522;291.722869515419;maze512-2-5.map;
44;AStar;61616;61612;83717;501923;199174;(358,427);(445,227);1337.11479034;1163.7077125310898;maze512-2-5.map;
45;AStar;76281;76277;109573;657628;257260;(249,155);(188,481);1752.89653625;1516.7442903518677;maze512-2-5.map;
46;AStar;175079;175074;231548;1388110;549396;(338,506);(202,8);3613.53318786;3127.7139763832092;maze512-2-5.map;
