exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
0;AStar;19641;19618;8521;57938;24115;(186,224);(3,312);231.30865784;222.62236428260803;random512-20-0.map;
1;AStar;22309;22305;30050;203367;84323;(436,482);(0,34);710.02142791;656.1290663480759;random512-20-0.map;
2;AStar;3979;59;198;1360;658;(389,211);(431,180);58.94112549;55.426406145095825;random512-20-0.map;
3;AStar;28005;28004;44162;298891;122731;(18,58);(491,355);633.5533905;600.8498479127884;random512-20-0.map;
4;AStar;2448;2446;3418;23171;9886;(389,277);(267,435);228.45079346;212.04877042770386;random512-20-0.map;
5;AStar;2371;2370;3726;25256;11275;(92,97);(129,358);291.88225098;277.1543279886246;random512-20-0.map;
6;AStar;11668;11667;15086;102447;42574;(27,130);(357,461);527.09754638;488.7787802219391;random512-20-0.map;
7;AStar;8935;8933;12924;87782;36678;(305,142);(66,428);418.97265472;396.1269783973694;random512-20-0.map;
8;AStar;1051;1050;1777;12153;5691;(481,180);(374,456);328.4213562;320.3208485841751;random512-20-0.map;
9;AStar;11801;11799;17978;122578;50818;(500,161);(111,466);558.34018707;521.192993760109;random512-20-0.map;
10;AStar;21868;21866;30595;207188;85783;(415,498);(30,16);692.43564148;651.4305820465088;random512-20-0.map;
11;AStar;8717;8716;14399;98231;40565;(11,491);(249,176);443.70057678;419.0975408554077;random512-20-0.map;
12;AStar;4206;133;424;2831;1609;(30,341);(249,448);275.62236633;264.14927566051483;random512-20-0.map;
13;AStar;2194;8;37;263;134;(496,429);(497,450);23.65685425;22.242640614509583;random512-20-0.map;
14;AStar;12267;38;108;730;442;(136,369);(213,402);95.59797974;90.66904675960541;random512-20-0.map;
15;AStar;26864;26861;31557;213653;88288;(494,458);(22,21);727.99199066;675.2712017297745;random512-20-0.map;
16;AStar;2449;334;757;5287;2531;(77,394);(262,337);213.29646454;208.61017167568207;random512-20-0.map;
17;AStar;2070;133;335;2303;1187;(233,425);(276,302);147.3969696;140.81118214130402;random512-20-0.map;
18;AStar;11681;11680;17078;114966;49738;(86,75);(131,510);480.65180359;459.53910398483276;random512-20-0.map;
19;AStar;1942;1941;3530;24034;10596;(451,371);(291,472);217.06601715;203.59292674064636;random512-20-0.map;
20;AStar;3501;6;47;281;162;(364,23);(340,29);30.48528137;27.313708305358887;random512-20-0.map;
21;AStar;2262;136;381;2571;1203;(180,250);(243,206);90.25483398;83.22539567947388;random512-20-0.map;
