index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
0;872.654;871;552;503;472;2;400.7631767417499;425.97265
1;119.82;107;100;95;58;0;207.4913774852005;220.00714
2;379.082;387;277;261;214;5;479.1381336363166;506.58788
3;400.312;444;308;284;235;5;418.3407198029644;441.40411
4;261.612;308;205;193;154;4;374.8230974128245;399.27417
5;691.27;839;568;515;488;3;358.8693100451681;381.54625
6;447.439;761;516;462;425;10;333.3235221253875;357.67619
7;524.09;905;596;539;515;3;456.3513089310114;484.3158
8;61.522;108;82;80;57;0;205.1356215423563;216.37973
9;51.413;71;69;67;40;0;254.4435157532893;266.16147
10;137.688;211;177;158;127;0;191.248070685456;200.71068
11;10.84;9;17;15;6;0;68.00735254367721;68.414214
12;59.811;86;88;79;50;2;217.4370413455429;228.24978
13;432.505;698;482;432;388;9;346.9324552663953;372.23254
14;77.588;141;97;91;63;0;191.9544453384794;202.58074
15;275.191;457;311;284;246;5;363.6479025151102;387.27417
16;523.969;858;566;515;487;2;445.2971996814076;472.14423
17;175.443;303;214;204;163;5;481.1809119740379;507.02648
18;377.56;623;439;397;354;3;296.297435792039;313.63456
19;167.815;270;201;183;148;2;260.0919927854613;276.46299
20;2.406;0;1;0;0;0;19.23538406167134;20.242641
21;277.922;462;316;293;248;1;387.941817911385;411.03153
22;113.563;197;131;122;103;2;251.7143441397352;268.20815
23;80.993;134;115;103;77;0;144.2603592241655;149.58074
24;234.985;409;296;270;221;0;386.1659562737335;407.529
25;51.184;76;77;70;45;0;163.5803906785912;172.71068
26;94.583;159;116;107;93;5;273.6115061053079;295.37973
27;57.413;89;81;78;51;0;208.1321069485868;215.04877
28;73.085;108;100;94;57;0;271.0601887667165;285.84776
29;32.589;43;49;47;22;0;228.9062057742396;235.40411
30;581.357;969;635;577;549;4;469.3770359607273;498.14423
31;92.397;139;124;116;83;0;224.3106705187768;231.01934
32;178.958;300;212;202;161;4;444.1940156561797;467.74221
33;3.966;0;5;3;1;0;7.615773105863909;8.2426407
34;523.374;857;590;532;500;3;409.437065481092;433.87215
35;89.188;145;120;108;81;0;149.8923974359984;156.10765
36;10.707;9;18;16;7;0;68.41052550594829;71.39697
37;65.399;93;81;77;46;0;190.6052441495144;200.13708
38;224.19;365;276;261;193;7;324.3202176553145;340.8772
39;486.947;833;547;492;464;2;395.2773433974015;414.4285
40;548.97;973;615;564;538;4;442.082141298488;469.84271
41;32.629;44;44;42;24;0;192.472150244663;199.11984
42;229.258;383;271;253;207;5;379.2500048969307;400.0904
43;232.868;410;279;259;220;1;390.60648667335;412.35743
44;225.208;378;281;267;203;7;358.7107033135802;378.64675
45;2.136;0;3;1;1;0;14.42220510185596;15.313709
46;31.276;46;42;38;27;0;73.56466363988535;79.497475
47;324.32;514;369;342;299;5;233.7480361024889;248.5513
48;89.54;123;123;110;80;0;172.3204151331838;187.16652
49;281.79;468;331;303;258;6;325.0694213563809;343.30361
50;49.334;84;64;62;45;0;196.6937203826387;207.89444
51;140.732;232;175;167;127;0;246.5002973777162;258.91883
52;567.787;955;623;568;535;5;470.5064791591305;496.09755
53;45.983;59;68;66;37;0;300.5259901897485;313.00209
54;454.613;797;529;478;443;2;377.9864616914875;401.07316
55;593.743;991;663;608;579;7;450.0396989336173;475.44574
56;264.133;464;333;306;256;6;427.1073089216028;455.97265
57;160.151;269;195;177;142;2;278.7451814506176;295.73506
58;108.58;180;145;137;101;0;344.6277906064675;363.75945
59;553.853;951;638;584;557;5;441.7610411917595;468.62951
60;139.473;224;185;169;128;0;265.1941803573736;282.56349
61;141.345;231;195;176;130;0;285.4991582940098;300.74726
62;172.904;260;212;201;148;7;370.0577572652438;388.11479
63;60.268;101;79;71;49;0;216.4484426618585;228.50967
64;81.479;121;118;112;70;0;249.3101843639074;262.01934
65;81.501;135;114;107;74;0;194.9982447900245;208.89444
66;37.562;37;51;49;23;0;183.5116502668021;192.62237
67;17.355;18;29;26;14;0;96.23823728350307;101.59798
68;38.691;59;54;52;35;0;152.0359208072296;160.88225
69;129.922;223;166;148;125;0;254.2530842888964;268.23254
70;27.338;38;39;36;20;0;95.16441361829183;103.59798
71;650.026;1108;707;651;616;5;436.6983405404873;462.18586
72;50.547;77;67;63;41;0;145.7710229998432;152.37973
73;66.303;91;84;80;52;0;150.9009221588407;160.92388
74;75.572;112;107;100;65;0;173.490389610619;183.02439
75;549.889;943;615;559;530;4;400.425308546216;420.94322
76;199.33;349;261;237;198;0;226.435983655669;239.69343
77;662.472;1115;719;660;628;5;487.0552160349022;514.61227
78;412.426;706;462;423;384;6;427.8140319039615;457.61732
79;532.372;913;600;544;513;4;495.5491169969691;520.21024
80;89.41;157;114;108;86;0;230.6647967567199;244.20815
81;10.738;6;21;19;6;0;81.60882305241266;85.882251
82;63.799;93;88;80;47;2;157.8086886051979;166.78175
83;60.853;82;88;86;52;0;247.8813592641072;259.60512
84;87.271;144;125;115;88;0;185.895020508414;195.50967
85;139.049;223;172;163;127;7;295.9239078523942;312.06097
86;29.853;43;47;44;28;0;141.351200490459;149.29646
87;79.725;112;112;107;70;0;249.131649021276;262.16652
88;5.345;2;9;7;3;0;9;9
89;195.208;329;237;227;175;4;447.0760470759648;471.88434
90;20.565;25;33;29;17;0;99.64837534450493;106.81118
91;138.71;254;160;151;127;4;221.9125645539954;237.7645
92;3.771;1;5;3;2;0;35.17101079013795;37.727922
93;10.813;9;19;17;8;0;44.04948524376262;45.79899
94;495.215;876;527;482;464;7;459.9019084915697;490.41631
95;57.19;75;72;70;42;0;246.7707698287362;259.7767
96;48.725;65;67;64;42;0;105.5208440629663;110.87006
97;284.993;481;323;300;270;6;403.1477607410918;433.93102
98;20.523;19;30;28;13;0;85.4916638620405;90.053824
99;5.953;1;10;8;2;0;10;10
100;249.316;465;323;300;248;5;483.065348805407;511.17366
101;147.473;238;185;173;133;0;235.0802572667081;248.22035
102;463.533;797;539;488;447;2;394.2215172212537;418.38687
103;377.218;669;449;407;368;2;401.4024776196615;424.38687
104;486.78;864;554;498;474;3;369.3461101402512;389.73001
105;106.331;178;139;133;91;0;287.2371008466211;302.37467
106;30.13;36;43;41;26;0;149.8440466994008;157.2254
107;6.509;2;10;8;3;0;44.01136216933077;47.627417
108;199.566;328;237;218;181;5;210.0152272522627;221.16652
109;464.855;832;545;493;465;2;408.9718658768034;426.05592
110;41.363;65;62;56;36;0;92.63333446324866;99.296465
111;13.576;6;16;14;4;0;52.49761899362675;56.627417
112;465.971;805;536;482;450;3;339.297237653616;358.44574
113;299.368;502;364;333;281;6;414.9773809061381;440.11479
114;10.393;7;19;17;6;0;63.60031446463138;66.740115
115;553.881;968;630;572;543;4;489.8516400564784;517.78384
116;6.668;2;11;9;3;0;42.10028430850614;45.284271
117;59.85;90;85;80;61;0;130.13093418722;134.72287
118;44.429;65;65;61;40;0;124.3294328979107;130.48023
119;544.278;962;636;576;553;4;475.9769172675714;505.28636
120;84.246;137;117;113;80;0;260.5526347795119;274.33304
121;17.825;18;30;28;16;0;70.85128034809679;75.556349
122;87.338;153;110;98;80;2;209.1871181053347;221.58074
123;15.775;15;27;23;11;0;104.7533047182259;105.82338
124;250.8;426;297;283;232;5;474.763307117845;502.70058
125;199.409;344;263;245;200;0;353.0236372733321;374.94827
126;45.163;71;62;60;39;0;189.0776628534742;200.92388
127;611.877;1061;686;630;601;5;450.9291937306945;473.39906
128;133.459;223;185;171;133;5;318.8283050172018;341.00714
129;234.123;416;295;275;222;0;386.7783403341895;405.28636
130;213.801;352;266;244;194;2;375.5659037445698;396.83052
131;252.714;410;312;282;233;3;254.7789033165724;270.52186
132;174.214;307;226;205;170;5;360.1186390465332;384.97771
133;92.862;139;128;121;84;0;267.3962227922727;279.92388
134;552.325;974;634;577;549;6;488.3816258623485;516.02648
135;8.379;6;13;11;5;0;49.11671641781072;52.769553
136;26.275;30;41;38;21;0;84.08530709162375;91.183766
137;97.901;161;127;118;96;0;177.9804944022345;187.19596
138;106.994;171;148;136;99;0;179.9595619947056;191.92388
139;105.604;172;122;113;89;2;224.7066502528006;241.79394
140;19.732;19;34;31;15;0;70.76051539315287;73.497475
141;35.616;53;51;47;31;0;130.0347594856457;138.46804
142;78.518;113;113;103;68;0;205.4496291436113;216.85281
143;99.532;168;112;107;79;2;144.7907846970013;153.88225
144;191.788;337;247;236;183;4;478.722209407882;505.5412
145;10.896;10;18;15;9;0;63.13713746543829;66.497475
