index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
0;38.374;2;10;8;3;0;121.4125199474914;125.14214
1;547.603;472;193;190;136;0;1094.328631153745;1169.053
2;36.546;19;15;13;6;0;452.0011061933367;470.53911
3;177.862;86;73;67;38;0;366.6047728524466;387.94827
4;93.398;56;39;37;18;0;414.8969195803055;446.60512
5;47.723;24;20;18;6;0;528.5478925041965;549.10469
6;373.287;337;130;128;103;0;485.6146433715604;525.00209
7;7647.875;7099;3487;3465;3016;20;1412.261245614494;1465.5546
8;281.803;201;142;139;75;0;864.7096782254876;884.1606
9;25.738;4;14;12;4;0;123.5677951571525;133.71068
10;31.148;10;16;14;4;0;213.0164312911096;225.70563
11;89.395;39;54;52;20;0;237.352818264411;248.0904
12;27.691;9;14;12;5;0;353.1416146533852;382.06097
13;399.954;314;207;205;156;0;583.6590477531128;631.36962
14;2453.173;2409;1165;1143;882;6;1081.674964802055;1140.1047
15;102.944;46;47;45;23;0;232.3189684655228;248.82338
16;503.941;491;229;224;168;0;1078.440316684455;1162.7271
17;29.441;10;15;13;5;0;330.8201928540639;355.68838
18;30.761;6;23;21;4;0;104.1201229350023;106.07107
19;340.735;285;166;164;108;0;658.7740878859161;686.05801
20;137.106;66;95;93;37;0;655.0566909247659;674.79812
21;2128.757;2031;1212;1201;1033;4;517.7552745627163;547.14928
22;742.73;687;396;391;263;0;849.2220963762702;896.13918
23;190.891;153;106;104;55;0;720.4424508970883;768.66104
24;240.331;190;122;119;75;0;654.7939717932277;691.57778
25;22.916;5;15;13;4;0;97.01546268507923;101.79899
26;52.473;14;39;37;11;0;317.1655719021218;341.03658
27;618.699;548;340;338;267;0;1317.845862278125;1373.1282
28;1482.092;1324;792;780;606;5;644.4515696277731;697.49452
29;153.316;86;69;67;41;0;604.3066661815753;644.48232
30;2888.51;2757;1508;1499;1234;9;1199.960922295442;1272.653
31;322.496;229;231;228;163;0;923.3722847190728;967.30274
32;172.732;76;137;135;40;0;1081.083941910683;1149.2144
33;6.118;0;1;0;0;0;31.78049716414141;34.384776
34;293.832;211;152;150;88;0;1393.546650788574;1419.1181
35;195.386;146;76;73;53;0;1368.66718679753;1458.8662
