index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
0;11978;11180;10287;4712;4646;0;3218.272099770359;3836.2611
1;2610.323;2654;2475;1111;1095;0;2396.355112790324;2856.0996
2;15021.682;14598;13320;6143;6130;0;3471.382500689757;4161.055
3;9324.607;9546;8795;4000;3948;0;2688.72422266831;3221.3961
4;473.52;537;487;206;198;0;492.9277401315892;598.13708
5;11299.945;11699;10732;4953;4894;0;2571.104043562544;3083.1118
6;9714.657;9870;9045;4172;4114;0;1897.970646065688;2280.3057
7;8713.31;9052;8272;3864;3835;0;2238.116065348136;2678.6854
8;11636.815;12055;11032;5053;4995;0;1822.355795579542;2187.1636
9;8317.659;8664;7935;3719;3678;0;1769.949130671542;2106.2641
10;10458.515;10920;10049;4617;4549;0;3691.969693354281;4393.7413
11;914.089;1004;945;422;393;0;566.3791439810429;685.19091
12;1159.356;1271;1155;550;537;0;875.0254114770746;1055.2742
13;5352.169;5648;5190;2362;2314;0;1798.672424489557;2161.6783
14;5840.006;6187;5708;2564;2530;0;2257.974750750276;2700.8154
15;16266.7;16857;15384;7100;7092;0;3822.354578775597;4553.854
16;6191.964;6683;6137;2778;2735;0;2720.292259331695;3251.4672
17;8823.187;9049;8277;3908;3876;0;1578.611118071867;1889.4945
18;14236.097;15020;13693;6319;6297;0;3622.263194112887;4349.1261
19;11395.55;11894;10867;5076;5054;0;2196.24691001336;2624.2001
20;13418.655;13811;12645;5796;5758;0;3013.813095667604;3608.3911
21;137.805;139;138;72;64;0;203.8080057252388;241.42641
22;13104.643;13389;12225;5664;5633;0;2474.98553163957;2986.3667
23;1283.983;1369;1269;584;550;0;477.3048404006897;576.7645
24;5203.412;5637;5205;2343;2297;0;1714.178818739487;2060.2052
25;4813.315;5014;4600;2180;2147;0;1375.509597118643;1659.4823
26;12916.015;13160;12020;5526;5500;0;1765.052389959703;2121.7321
27;1228.529;1307;1213;591;568;0;630.0285619878912;763.56349
28;13517.683;13830;12622;5850;5822;0;2211.408965475845;2653.8154
29;11808.643;12207;11171;5150;5117;0;2806.908551744851;3383.7636
30;9.917;1;5;3;2;0;4.576491222541475;4.8284271
31;13778.421;14200;12995;6012;5973;0;3612.368106860673;4321.4276
32;5652.021;6072;5613;2511;2482;0;2984.663469935002;3564.9352
33;11758.022;12248;11175;5184;5168;0;2533.00214474644;3038.0408
34;10693.933;11033;10122;4644;4592;0;2253.458512022931;2715.5555
35;320.436;353;329;163;158;0;289.0466496620747;356.12489
36;1273.282;1394;1279;557;543;0;1024.974819489575;1232.9848
37;11809.493;12281;11222;5209;5182;0;2838.498707152953;3410.3372
38;3508.769;3794;3497;1614;1565;0;1961.450677173308;2377.1463
39;6055.861;6586;6063;2703;2679;0;3427.153034112641;4093.2022
40;13676.642;14311;13052;6011;5995;0;2735.963366727818;3278.124
41;14499.691;15003;13695;6314;6297;0;3425.140856334865;4115.4865
42;5576.202;5995;5532;2498;2449;0;2417.223305637001;2906.7687
43;264.947;299;272;111;106;0;279.7884437775811;339.53911
44;5478.615;5665;5203;2447;2412;0;1118.558279900062;1337.1148
45;7127.819;7450;6841;3116;3072;0;1459.595184836508;1752.8965
46;14833.199;15438;14089;6506;6491;0;3007.136188530744;3613.5332
47;853.691;945;861;399;388;0;714.4679650833463;860.67619
48;3596.627;3879;3613;1602;1579;0;1583.48589719238;1893.1097
49;13062.052;13551;12377;5713;5690;0;2416.705634931242;2882.8276
50;13108.448;13599;12449;5708;5670;0;3861.221144299867;4596.5109
51;7041.778;7512;6903;3177;3119;0;2656.101909540459;3188.6682
52;2020.916;2196;2035;947;894;0;673.0189917155433;798.46299
53;168.917;176;178;80;70;0;157.0637982626287;188.35534
54;14909.809;15343;14052;6446;6404;0;3473.65866274115;4148.984
55;13065.116;13487;12326;5674;5649;0;3341.346115060045;4009.717
56;3131.714;3350;3083;1390;1381;0;1306.821273214449;1574.7838
57;14611.426;15016;13742;6320;6283;0;3916.609903429789;4673.4815
58;4588.84;4621;4249;1996;1945;0;863.7251435634328;1040.6173
59;8060.097;8329;7638;3579;3533;0;1707.894043501695;2047.4651
60;13219.279;13593;12446;5706;5670;0;3029.44211486533;3628.7048
61;45.429;39;44;22;18;0;74.03810727892977;88.384776
62;14063.426;14501;13216;6101;6086;0;3019.692653207611;3639.0479
63;12939.042;13527;12350;5696;5667;0;2235.878917891559;2685.4133
64;865.342;928;880;432;411;0;517.6569271800197;614.13708
65;3353.587;3622;3360;1478;1450;0;1228.728073454017;1478.3696
66;642.96;738;692;311;304;0;617.2064785064243;746.32085
67;12211.75;12572;11503;5305;5258;0;2537.206413299795;3040.526
68;2782.217;2897;2685;1294;1253;0;644.1633503631726;775.22035
69;7679.5;8011;7392;3351;3300;0;3579.902391949056;4268.4276
70;1960.736;2049;1886;914;898;0;851.1109188331294;1014.5757
71;12693.221;13034;11893;5500;5483;0;2744.455931515022;3286.3078
72;7548.534;7712;7085;3335;3281;0;1589.648677217973;1920.7077
73;11826.921;12008;10977;5064;5037;0;2781.305377776632;3359.521
74;15205.031;15333;14034;6432;6390;0;3883.111249324804;4654.2388
75;9659.132;9761;8935;4181;4138;0;1498.701088110426;1802.1808
76;12505.997;12716;11598;5366;5355;0;2276.555504506194;2739.2296
77;14171.358;14434;13155;6076;6066;0;2647.407234107251;3180.7098
78;6966.105;7310;6762;3060;3006;0;2614.188058102985;3115.4255
79;8361.773;8550;7813;3666;3641;0;1341.632931132345;1606.4113
80;13611.983;14212;12954;5986;5967;0;2508.707294313306;3013.3545
81;13806.772;14660;13375;6171;6160;0;3045.755364804127;3638.2195
82;3166.348;3280;3030;1447;1405;0;784.2006225091931;954.47518
83;1731.348;1978;1848;828;821;0;2127.639682077305;2529.0753
84;1309.156;1461;1376;624;616;0;1062.343361880681;1258.0732
85;9199.749;9717;8920;4124;4073;0;3296.738278905481;3956.717
86;13537.771;13992;12781;5895;5869;0;2800.242353086177;3352.8519
87;951.657;1011;941;443;430;0;762.0934265410291;903.39192
88;464.781;496;472;214;201;0;380.2586539875413;458.82338
89;9090.394;9223;8472;3908;3842;0;1519.267875244969;1823.7372
90;9973.622;10363;9485;4445;4409;0;2287.223735733824;2739.9281
91;9150.367;9549;8746;4099;4059;0;1871.61813788973;2243.4478
92;12424.644;13114;11961;5535;5514;0;2796.758920111668;3354.9941
93;10433.102;10810;9894;4604;4564;0;1463.950274702714;1762.5656
94;12.378;3;8;5;3;0;15.94427190999916;17.828427
95;5925.22;6194;5712;2603;2526;0;1553.483440069147;1865.524
96;7915.15;8145;7497;3400;3343;0;1647.188290778474;1968.394
97;14359.061;14720;13432;6187;6170;0;3232.322806925009;3878.2439
98;14936.716;15127;13796;6375;6355;0;3207.590074646766;3835.7758
99;16583.303;16992;15526;7171;7152;0;3655.626084212751;4363.4693
100;12323.691;12449;11373;5265;5234;0;2675.2071287113;3236.0946
101;2158.118;2252;2084;982;938;0;811.8291261680997;981.78889
102;12266.967;12620;11541;5356;5315;0;2466.991182576915;2949.8986
103;10779.04;11080;10176;4665;4602;0;2960.327328500644;3561.7048
104;8802.998;9241;8486;3898;3841;0;2670.213156313453;3202.5382
105;2475.827;2765;2550;1118;1102;0;1896.979273793186;2282.8326
106;2487.034;2687;2472;1135;1096;0;1812.758907098197;2197.59
107;8034.147;8538;7869;3585;3531;0;3030.542629698198;3655.5038
108;14383.695;14824;13522;6248;6239;0;3014.712655843972;3595.4205
109;8626.276;8906;8137;3809;3783;0;2093.025659405641;2492.5311
110;10603.29;10956;9996;4657;4636;0;2497.991540356088;3011.7687
111;8126.892;8298;7599;3590;3547;0;1780.126048121371;2126.1636
112;3565.796;3813;3489;1623;1597;0;1024.856015486564;1245.6001
113;7796.744;8349;7691;3471;3425;0;3858.331829817751;4612.6825
114;3695.357;3903;3598;1649;1609;0;1313.607967836045;1579.2986
115;15638.304;16166;14741;6795;6784;0;3144.580628008981;3786.6753
116;3790.317;4203;3902;1731;1699;0;2109.87437786949;2531.4012
117;1647.011;1784;1638;789;774;0;1285.754023932126;1542.3696
118;8305.082;8782;8070;3711;3656;0;2248.435788055682;2716.7149
119;325.04;338;327;156;138;0;243.1374356806263;291.25483
120;6318.163;6542;6016;2818;2760;0;1760.922478109947;2101.7493
121;7220.695;7612;7015;3223;3150;0;2602.495627921916;3129.0824
122;13836.404;14397;13170;6039;6000;0;3918.323149682901;4668.8662
123;4839.214;5282;4867;2176;2148;0;2099.495774179389;2523.1585
124;5675.403;6115;5632;2522;2489;0;2139.841506706176;2554.058
125;15474.668;16122;14702;6788;6776;0;3661.075914418953;4397.4693
126;16016.455;16828;15360;7080;7073;0;3614.091594436277;4317.4276
127;2804.523;2052;1881;904;874;0;835.0552431456587;1007.8894
128;7656.005;7189;6595;3022;2987;0;2742.058751527091;3283.2956
129;214.725;226;207;110;103;0;196.3656228142332;244.39697
130;3693.694;3782;3501;1667;1614;0;687.9038576880855;832.84776
131;14411.523;14046;12848;5913;5874;0;2781.372435318306;3330.8936
132;14457.027;14774;13476;6218;6194;0;3242.659587242968;3912.5038
133;7780.337;8102;7457;3377;3339;0;1834.787780896731;2199.5189
134;1685.975;1800;1677;783;750;0;552.7716251572133;661.83557
135;9267.665;9912;9122;4155;4113;0;2434.054378495392;2918.6266
136;1173.115;1298;1199;559;529;0;552.0639000337578;658.69343
137;11008.348;11553;10594;4906;4841;0;2904.000481776476;3491.722
138;6694.258;7180;6624;2988;2943;0;2534.541587608839;3030.9403
139;84.985;87;85;40;35;0;87.39545911501573;101.79899
140;3181.736;3281;3020;1454;1419;0;797.8413056743129;952.74726
141;8783.195;9357;8589;3939;3889;0;2253.07208588785;2719.4012
142;15883.498;16757;15290;7055;7048;0;3634.886893660729;4341.6703
143;2927.724;3047;2831;1350;1309;0;850.0472728148668;1023.7178
144;752.329;789;767;354;314;0;409.994425077094;495.13708
145;11255.189;11655;10654;4934;4906;0;2582.265971002612;3115.8103
146;7620.608;7829;7197;3283;3237;0;1457.045450356908;1754.796
147;4511.05;4881;4474;2073;2030;0;1868.78153639432;2244.2885
148;13045.489;13638;12470;5726;5692;0;3444.923143722324;4136.3271
149;14663.446;15364;14057;6469;6439;0;3827.678917984361;4597.3221
150;11842.956;12409;11331;5225;5200;0;2208.377405323816;2633.9575
151;15858.898;16876;15407;7109;7099;0;3624.461426473071;4314.3271
152;613.249;667;625;303;283;0;439.1714041772792;529.5513
153;10856.68;11365;10386;4846;4824;0;1815.125109912271;2176.0631
154;16141.17;17087;15604;7200;7191;0;3748.419332420784;4476.8124
155;8955.889;9577;8792;4043;3994;0;2948.446593396583;3541.521
156;8872.008;9462;8698;3956;3906;0;2089.435662044675;2516.5311
157;5326.443;5662;5223;2422;2367;0;1737.640300117443;2097.7199
158;14215.693;15013;13736;6324;6290;0;3473.56160090429;4167.8418
159;4196.287;4638;4318;1924;1902;0;2720.090087060892;3242.7392
160;14895.282;15530;14185;6552;6531;0;3000.06478564746;3595.1778
161;337.582;352;334;164;146;0;198.2854746404091;236.98276
162;7207.054;7623;7037;3205;3150;0;3437.678177300934;4101.3444
163;437.312;470;440;193;188;0;377.0895951372679;455.96551
164;3791.113;4073;3774;1683;1642;0;1292.677858526211;1552.0975
165;15524.859;16096;14721;6799;6766;0;3500.29706774047;4192.9424
166;13677.392;14242;13038;6028;5985;0;3775.829595903991;4551.5109
167;9874.568;10125;9287;4360;4311;0;1592.072665579946;1905.4945
168;4549.16;4849;4456;2129;2092;0;1237.654343297354;1506.6123
169;493.639;561;512;214;204;0;494.5345265920302;599.37973
170;9324.86;9694;8887;4096;4049;0;2388.847104501312;2883.5555
171;1755.077;1897;1762;833;790;0;541.567900620965;654.52186
172;14535.326;15176;13889;6358;6315;0;3501.741993386451;4215.9718
173;12243.017;12743;11683;5360;5310;0;3928.705054787892;4681.1383
174;461.83;530;497;212;203;0;549.4666517661714;667.86501
175;14510.399;15113;13791;6365;6342;0;2451.346740218513;2949.2123
176;2140.055;2266;2083;1017;997;0;933.9577394957607;1106.7178
177;13869.018;14647;13391;6179;6146;0;3843.330501808381;4617.381
178;4080.729;4361;4058;1818;1795;0;1653.127169729305;1985.6783
179;135.258;142;137;61;57;0;168.0763956032342;189.1127
180;326.333;352;346;158;143;0;262.5180186434111;307.56854
181;4975.546;5200;4778;2270;2221;0;1780.454147122256;2152.0042
182;560.833;600;573;267;253;0;311.5880815190188;372.12489
183;6836.086;7177;6564;3107;3076;0;1626.178397883449;1948.7077
184;7409.159;7849;7242;3265;3224;0;1988.939842004178;2383.0458
185;11281.2;11636;10636;4963;4932;0;2078.103535183176;2488.4895
