index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
0;16561;11077;8830;8337;6058;428;208.5878613739499;231.30866
1;97963.267;54446;44234;41633;30891;2399;634.1398758498735;710.02143
2;287.972;145;231;212;78;0;52.75867999569434;58.941125
3;149002.12;87727;61485;58144;49042;4528;571.0387465559361;633.55339
4;7832.916;5172;4867;4609;2914;163;203.5929885791323;228.45079
5;8662.675;5775;5630;5238;3275;91;267.3065147876773;291.88225
6;37293.63;24024;21214;19988;13782;1000;474.0977325516888;527.09755
7;26532.37;17636;15995;15050;10093;679;380.3540382729917;418.97265
8;12717.508;8460;7983;7554;4799;251;299.2586596808281;328.42136
9;37787.749;24801;21918;20675;14046;908;500.9776279629721;558.34019
10;72897.5;47320;38581;36457;26966;2008;625.5419390456736;692.43564
11;23997.225;16295;14372;13495;8979;689;401.1319456974235;443.70058
12;8869.215;5945;6005;5660;3408;190;249.0116694497595;275.62237
13;65.648;32;58;53;20;0;21.51749697218684;23.656854
14;886.732;573;745;701;334;6;85.84512455753658;95.59798
15;126436.62;80678;63903;60350;45813;3599;653.041896077261;727.99199
16;4722.68;3017;3195;3002;1722;55;196.2745176584476;213.29646
17;2486.15;1650;1798;1688;962;44;132.5756249097591;147.39697
18;64068.847;42387;31901;30131;23351;1574;444.1107274866882;480.6518
19;6520.455;4351;4369;4112;2520;108;193.3309871357541;217.06602
20;74.41;32;65;58;18;0;25.94702506064144;30.485281
21;611.542;387;506;477;222;5;79.2409785644839;90.254834
22;38768.731;25736;21283;20053;14393;785;454.64755766899;493.46299
23;16197.74;11135;9851;9269;6191;317;339.8121616892022;363.71068
24;11988.306;8390;7451;6986;4520;175;266.0290445925635;286.56854
25;49718.289;32658;27795;26235;18805;1434;544.6451205994765;605.16861
26;68916.144;43933;36928;34933;24750;1806;589.0842211096613;652.9798
27;24423.533;17149;13151;12413;9841;878;234.0058625221467;262.5513
28;13498.154;9131;8586;8131;5101;224;334.0469786204682;361.6518
29;41020.548;27682;22411;21119;15301;847;470.5929010812185;505.6518
30;20246.794;13884;12131;11423;7595;326;399.0426904963969;426.02439
31;1588.426;1118;1149;1099;593;21;91.15292147618609;98.213203
32;16918.456;11237;10502;9873;6774;570;287.1763155538002;322.26198
33;71334.625;45212;38196;35995;25819;1909;670.1476011922147;748.54834
34;43806.343;28522;24152;22751;16452;1229;432.0679295389772;482.60007
35;2676.277;1804;1894;1774;1063;50;139.9395869408193;158.53911
36;21197.409;14678;12176;11511;8675;888;187.5231341770457;211.45079
37;241.019;154;215;198;99;3;36.0025131208878;39.313708
38;45439.603;29745;25015;23651;16533;1043;539.0546168062883;594.6417
39;12735.728;8623;8152;7659;4864;230;332.768542622347;364.56349
40;8.71;0;1;0;0;0;1;1
41;20357.593;13664;12243;11552;7679;405;401.5255242340759;439.11984
