Index,Expanded,Time,Length
0,168057,75227.684,2644.269670645076
1,41356,16822.541999999998,2397.1411455178986
2,218801,94784.293,3472.794899124042
3,144606,64891.637,2689.1903456618447
4,7272,3039.416,493.0033245587754
5,174504,78659.151,2571.735099361514
6,147634,68851.01400000001,1899.8882659121512
7,134541,61498.737,2239.4774560558603
8,178847,80800.90400000001,1823.296603323616
9,128613,56812.820999999996,1770.390562369994
10,164029,71184.845,3693.33165720378
11,14105,5910.4349999999995,565.7558883412547
12,18334,8299.749,875.373031935477
13,83244,36525.772000000004,1799.8589973792518
14,94385,40913.766,2196.940179637217
15,253927,109064.224,3823.687985982615
16,99900,42075.936,2721.1531562694486
17,133998,58248.559,1579.0046877037394
18,224392,94849.04299999999,3623.3054208965777
19,177153,76064.57299999999,2197.60886552494
20,207869,94396.686,3014.2954878777746
21,1511,660.748,171.9156432463996
22,199425,85759.754,2476.498501703256
23,19052,8441.362,477.6326216165147
24,84320,36231.901,1715.486561099788
25,73270,32089.488,1375.9492598666716
26,197316,90622.66200000001,1748.635231606516
27,18499,7599.925,630.0285619878912
28,206484,91035.572,2212.5013438476726
29,182800,80456.401,2570.741173769914
30,6,15.8,4.576491222541475
31,212402,93421.58499999999,3609.287669623472
32,93973,39786.424,2985.5957159220707
33,183018,80251.58399999999,2533.934390733506
34,165201,74128.534,2254.382782698272
35,4774,1999.04,289.04664966207474
36,21307,9232.942,1025.358871621013
37,182957,78901.17700000001,2774.005097930567
38,54808,23512.644,1962.4141352687489
39,100745,40528.939999999995,3428.665529660556
40,214811,92141.48400000001,2737.1363274896494
41,225123,100671.879,3426.677895417543
42,89735,51945.926,2418.0537107367886
43,3790,1544.586,279.7884437775811
44,84172,37083.827999999994,1119.1474966316043
45,110385,48957.682,1459.869281764322
46,231601,102608.548,3008.5652366727863
47,14022,5930.914,714.8482429025473
48,60432,27540.556,1584.1301657707868
49,202934,88248.121,2417.658592369918
50,204710,90322.617,3862.449771620199
51,111993,49912.357,2657.701539998922
52,31032,14175.278,673.0189917155433
53,2414,1085.193,143.1486779049003
54,230854,103756.216,3433.724506452975
55,202103,90147.989,3343.2972944645394
56,50857,22300.043999999998,1307.3324887972014
57,226121,99546.732,3915.212884147196
58,66613,30551.003,865.0216716567523
59,123193,53360.19,1707.8940435016957
60,204539,89735.135,3029.908237858864
61,566,254.73200000000003,74.23733182756992
62,216829,93337.689,3021.328710202232
63,202182,86758.449,2236.8031885669
64,13089,5437.111,517.8767585540339
65,54769,24449.199,1229.922532843848
66,19815,8491.227,617.297682045428
67,187672,87024.735,2537.640956672797
68,41574,19815.007999999998,644.7029968872941
69,121031,53008.206,3580.8399626587675
70,31605,14005.812,851.4949709645675
71,194982,85337.929,2745.7019618730656
72,113632,72468.851,1566.8838609397394
73,179882,81386.626,2781.6100711686468
74,230720,113343.249,3884.249918343433
75,145415,66623.792,1498.9895820040815
76,190467,84409.273,1871.2849975885167
77,215838,93077.32699999999,2648.8685639129453
78,110980,47142.782,2614.94232623162
79,127173,58000.768000000004,1342.0169832637828
80,211779,90951.042,2510.3336573031224
81,219604,96850.201,3046.602853399428
82,47739,21207.060999999998,764.7576837627332
83,31726,12753.249,2128.9411165586325
84,23378,9870.566,1062.7274140121183
85,144304,65575.73,3299.249810829865
86,209452,93763.959,2801.247496970759
87,15291,6555.565,762.2854526067481
88,7327,3219.789,380.2586539875413
89,136845,61837.965,1519.503906117341
90,154353,72488.133,1710.5089732785002
91,141772,67148.828,1864.7763389965407
92,196174,84623.503,2798.362993791241
93,160853,69849.785,1464.989837682591
94,11,17.727,10.516177866780309
95,91663,41408.551,1554.862039024561
96,121433,53957.079,1647.6066346531156
97,220962,96546.82800000001,3233.358442647558
98,226583,97744.001,3208.984773941364
99,256147,122661.13900000001,3639.5654131692017
100,185978,82907.117,2675.4269600853145
101,31640,14048.176,812.2162923127524
102,187902,81641.776,2467.87161411017
103,164909,73588.866,2960.9061188204737
104,137458,60051.557,2670.721481581124
105,41259,16859.739999999998,1897.863740661361
106,38363,16073.998,1813.8983754325293
107,128733,56957.468,3031.8191599501274
108,222068,97522.09999999999,3015.678612308455
109,132347,57782.314999999995,2093.82338227384
110,163224,72440.996,2498.245270368148
111,122355,53158.32000000001,1780.3180741870897
112,55943,24366.755999999998,1024.8560154865638
113,126897,54936.663,3822.06715055528
114,57153,25046.943,1250.4109634289257
115,242728,103777.689,3064.2377807067537
116,63223,27508.893,2109.87437786949
117,26504,11159.788,1286.5777388115926
118,131421,59153.990999999995,2249.2980938982487
119,1735,727.876,130.98449792482387
120,95549,41657.294,1760.922478109947
121,113276,50078.93,2604.268081665356
122,216693,97499.16,3917.479693752887
123,80230,33927.693,2100.2981701854687
124,91981,39609.746,2084.9512422290622
125,241661,102736.099,3663.1646448436686
126,253794,109961.008,3615.088728630749
127,28571,11912.877,835.7941612087905
128,107716,48328.133,2660.068933156786
129,2722,1749.017,196.3656228142332
130,53096,37297.155,681.2442809331274
131,210878,97477.878,2781.790779192948
132,220910,104876.38699999999,3243.6707252981223
133,122200,59686.816,1835.6347973536388
134,26510,12455.93,553.4350989391073
135,149759,68731.49399999999,2433.461036051941
136,17882,7819.3279999999995,553.0412386100436
137,170803,76119.469,2904.7829039719604
138,109537,48366.271,2535.100011012913
139,970,451.706,87.39545911501573
140,47455,22512.149,790.0161895898442
141,139518,62538.944,2253.756246145544
142,252915,110014.557,3635.946203939935
143,43571,19834.896,850.5446079167737
144,11540,5573.22,410.3784772085321
145,174496,76579.128,2570.539358144882
146,117122,54264.75,1457.6897189353144
