Index,Expanded,Time,Length
0,6341,2.565528,219.45079348883243
1,20552,8.263278,644.9991334482229
2,291,0.103703,55.42640687119285
3,43664,18.79697,597.4356415871825
4,2515,0.973922,209.11984104714452
5,6887,2.669177,276.32590180780454
6,8084,3.082454,478.8204178980325
7,10931,4.365931,389.0975464705581
8,12926,5.489339,320.3208511739212
9,15022,6.24281,516.1635636485402
10,19169,8.234166,643.8153672641491
11,12785,5.286283,415.3401871576773
12,8340,3.267595,263.3208511739212
13,48,0.014153,22.242640687119287
14,1313,0.49978,90.66904755831214
15,19046,7.869005,663.5554826343268
16,5884,2.307737,208.61017305526647
17,2643,1.033177,140.81118318204304
18,10243,4.369807,453.6396103067895
19,3507,1.3736,201.83556979968264
20,51,0.019452,27.31370849898476
21,627,0.228665,81.81118318204311
22,30392,12.823071,482.1909088590102
23,3283,1.33559,344.11269837220823
24,1958,0.736985,270.284271247462
25,25044,10.416549,573.5361466505711
26,20164,8.842864,603.18795026618
27,6436,2.575111,242.73506473629436
28,13766,6.041216,352.23759005323603
29,9351,3.818143,477.6690475583122
30,6423,2.499806,408.0832611206853
31,986,0.375188,94.55634918610404
32,5045,1.799303,291.8010819142764
33,21218,8.301367,682.3544725075504
34,8710,3.434904,438.080302527855
35,2055,0.808733,146.82337649086284
36,2670,0.969536,187.63455967290597
37,123,0.043001,37.31370849898476
38,40136,16.932764,575.9970414071703
39,16695,7.021697,355.2914139223984
40,2,0.000902,1.0
41,24669,10.710721,429.7472580451144
42,25648,11.469342,635.1463197058372
43,24393,10.075983,444.2619766708756
44,16076,6.462684,528.1341263970173
45,40571,17.668997,586.055915910216
46,28189,12.568761,588.6782822743016
47,27278,12.335314,578.5777772109135
48,12351,4.717211,510.20519420888274
49,2286,0.88132,155.62236636408616
50,6008,2.421307,297.1248916810279
51,2753,1.071356,343.8700576850889
52,268,0.102082,53.45584412271571
53,14018,5.690704,517.5483399593904
54,4867,1.972495,261.50461735799473
55,19336,8.319779,491.3523804664972
56,4697,1.876375,258.02438661763955
57,34840,15.681979,543.4995667241117
58,20913,8.29487,653.0702012600883
59,1000,0.397701,102.52691193458118
60,18401,7.887444,566.2762620207484
61,19412,7.5649,685.4255403194157
62,3594,1.386761,241.3553390593274
63,15516,6.445259,410.0853531617384
64,6406,2.764483,254.0538238691624
65,18694,8.282791,532.6072144624362
66,7754,3.122575,323.9726547895303
67,4910,1.951274,256.1320343559643
68,4936,1.93188,311.7716446627536
69,15208,6.371739,541.6904755831214
70,5760,2.303064,236.46298679765215
71,11979,4.741756,448.2253967444163
72,1018,0.424295,102.12489168102788
73,3315,1.256971,157.1959594928933
74,2798,1.125277,342.42640687119285
75,22962,9.980405,533.4945160902284
76,11883,4.978042,310.8944443027284
77,31917,14.544626,559.7716446627537
78,17264,7.213141,591.7737367038071
79,1460,0.554934,134.58073580374355
80,26469,11.430798,513.5929291125635
81,5312,2.045373,459.0416305603428
82,8154,3.376652,246.65180361560908
83,11511,4.685926,332.30360723121817
84,23391,10.289156,456.35028842544426
85,23900,10.214807,656.8275605729691
86,3,0.001597,2.0
87,4825,1.943346,251.4680374315355
88,2353,0.842256,216.74725804511405
89,2671,1.075326,162.79393923933998
90,12101,5.050225,352.4873734152918
91,23086,10.080946,626.460028204822
92,13590,5.530303,458.8376618407357
93,11126,4.368196,474.950360212944
94,17148,7.228196,532.2935059634514
95,2543,0.938961,261.9705627484772
96,19843,8.585795,389.53405460951774
97,10197,4.293138,358.700576850888
98,16408,6.715425,374.76450198781725
99,14349,5.746703,535.619407771256
100,2238,0.893351,173.66904755831214
101,6735,2.640739,403.0386719675123
102,9298,3.907045,382.64170234784245
103,19453,8.440336,640.2884553295681
104,25245,10.799222,642.0041840821067
105,16235,6.63156,588.6732316404181
106,2627,1.00415,140.05382386916233
107,12626,4.973103,522.7909806465099
108,68,0.025298,67.0
109,2595,1.014709,222.50461735799476
110,23900,10.386333,434.3919189857869
111,44937,20.069577,557.8549057834389
112,30858,13.201,534.0731598529187
113,27896,12.606473,521.0731598529187
114,9586,3.915083,279.8233764908629
115,257,0.092093,70.22539674441619
116,26067,11.545429,668.886435076015
117,17276,6.742853,599.4011537017765
118,3325,1.336205,193.74011537017765
119,13626,5.400987,546.1463197058372
120,1605,0.613793,258.38477631085027
121,5098,1.957089,187.65180361560903
122,16349,6.850748,648.2417741353421
123,2431,0.942296,163.76955262170048
124,2198,0.855852,124.49747468305831
125,51,0.017593,21.89949493661167
126,102,0.033181,42.31370849898476
127,5933,2.339768,206.50966799187816
128,23120,10.201425,406.6761902332487
129,33648,14.568414,523.5706345359771
130,21255,8.999222,687.6976182580582
131,24934,10.772077,634.8031739553296
132,336,0.12666,57.25483399593904
133,22792,9.949581,386.4629867976523
134,5792,2.459889,354.2964645562817
135,21700,9.249227,540.2203461105331
136,11426,4.590664,465.8792924010783
137,3084,1.258354,165.9116882454314
138,24168,10.31499,600.1046891454947
139,19130,8.231398,581.8620484583755
140,3450,1.303004,316.2132034355965
141,23117,9.630525,423.53405460951774
142,6974,2.764361,326.558441227157
143,2342,0.905193,197.5340546095176
144,492,0.197896,124.2132034355964
145,23329,9.813898,554.6366517139593
146,20597,8.56018,576.0041840821062
147,5,0.003127,3.8284271247461903
148,23807,10.328789,624.7321061434643
149,16383,6.299068,623.4427842621187
150,1033,0.386204,90.49747468305831
151,20816,8.783175,644.9869401394031
152,15358,6.272272,363.0315292925763
153,3367,1.361251,181.0365799264592
154,449,0.162826,143.07106781186548
155,21816,8.431046,653.2417741353423
156,12890,5.248794,572.602163828553
157,28157,11.516585,452.2741699796953
158,19798,8.238044,397.6173157302029
159,209,0.070492,40.31370849898476
160,11166,4.345574,454.4650788387052
161,5107,2.034216,216.29646455628168
162,22936,9.755311,695.4255403194159
163,1678,0.625201,100.4558441227157
164,21062,8.643823,396.7766952966372
165,1421,0.564977,111.53910524340094
166,23010,10.112248,667.271211386865
167,19597,8.212064,404.9777054234137
168,23525,10.46874,566.0924958366747
169,7189,2.675189,451.3553390593276
170,29213,13.074751,487.60007178749976
171,15547,6.519675,515.9655121145939
