Index,Expanded,Time,Length
0,24760,32.077991,400.9072288767029
1,6267,8.196205,207.5099132901645
2,10913,14.375557,479.2050468700445
3,11746,14.76019,418.688545379375
4,7746,7.8204,374.8672780406112
5,24300,18.912573,359.2456720550879
6,20410,12.385678,333.4675742603404
7,26178,14.275277,457.0036606688672
8,3005,1.687655,206.27523530767257
9,3877,2.424658,254.45766370361883
10,7679,5.013175,191.248070685456
11,69,0.074162,68.00735254367721
12,2363,1.173582,217.45118929587244
13,18593,14.032589,347.0210995868319
14,2530,1.354923,192.0278298601922
15,11876,13.799116,363.66643832007423
16,25180,15.772511,445.9896694339004
17,6843,3.559864,481.2434373531312
18,15749,8.497081,296.5213948204274
19,9593,7.52302,260.11052859042536
20,22,0.03604,19.235384061671343
21,14392,13.839604,389.1953830472779
22,3557,3.225029,251.80257104238137
23,4427,2.863641,144.2603592241655
24,14588,8.864207,387.2301306511773
25,3588,1.794794,163.5803906785912
26,2587,1.202875,273.744189403267
27,2211,1.228541,209.14969423572288
28,3238,1.612401,271.074336717046
29,663,0.801606,228.9062057742396
30,27332,14.813457,470.39762690704106
31,4621,2.641021,225.32825780591287
32,6426,3.119437,444.25654103527313
33,8,0.006032,7.615773105863909
34,25229,13.817219,409.9490523536402
35,4711,2.536631,150.0508447634813
36,99,0.099187,68.41052550594829
37,4157,2.250392,190.6052441495144
38,10632,5.441307,324.3387534602785
39,24405,13.36069,395.2905327937727
40,26869,14.465929,442.0953306948591
41,1403,0.972091,192.47215024466303
42,10876,5.689864,379.2685407018947
43,14227,8.088274,393.5987003654199
44,11447,5.834814,358.7384308597472
45,13,0.0102,14.422205101855956
46,978,0.426377,73.56466363988535
47,14367,7.165354,233.785707226483
48,3972,1.85496,172.3204151331838
49,12896,7.08593,325.28085775792874
50,2322,1.269145,196.82734033913425
51,7435,4.544546,246.84829114873625
52,27081,17.064106,470.5583973989897
53,4984,3.309377,302.45373313459
54,22199,12.863822,378.2009118826263
55,28414,15.296662,450.7932508748894
56,12764,6.458293,427.3671227519144
57,4596,2.423172,278.83880388777527
58,8442,4.776818,346.0761908123196
59,27353,14.5604,442.1605851365353
60,6512,3.21156,266.2374124673323
61,7664,3.952711,286.5423904039685
62,8008,4.494334,370.1196774520603
63,1292,0.741321,216.521920619498
64,5107,2.665638,249.37402421013945
65,4838,2.337917,195.01678059498852
66,2161,1.109,183.90743162932756
67,325,0.166065,96.23823728350308
68,1124,0.603625,152.04911020360072
69,8090,4.92243,254.367330512987
