Index,Expanded,Time,Length
0,168054,74.135239,3219.571215234174
1,41356,14.766201,2397.1411455178986
2,218801,88.289159,3472.6167535391687
3,144606,58.841957,2689.1903456618447
4,7272,2.660014,493.0033245587754
5,174504,70.981734,2571.735099361514
6,146068,78.67494,1899.8882659121512
7,134541,58.847698,2239.4774560558603
8,178847,75.592245,1823.296603323616
9,128614,55.558334,1770.390562369994
10,164029,68.97073,3693.33165720378
11,13951,6.058712,566.571170046762
12,18334,7.447937,875.373031935477
13,83244,35.290381,1799.8589973792518
14,94385,39.759579,2258.7600632608423
15,253927,106.688555,3823.687985982615
16,99900,43.967081,2721.1531562694486
17,133982,62.478473,1578.826542118866
18,224392,88.742358,3623.3054208965777
19,177153,70.678221,2197.60886552494
20,207867,85.598519,3015.6791364899373
21,1722,0.632895,204.1781773758312
22,199425,79.600322,2476.498501703256
23,19052,7.581571,477.6326216165147
24,84320,33.948098,1715.486561099788
25,73270,29.885428,1375.9492598666716
26,197319,85.487732,1765.1073675615155
27,18499,7.169845,630.0285619878912
28,206484,83.084744,2212.4989713784275
29,182800,74.582449,2807.9413844079454
30,6,0.004334,4.576491222541475
31,212402,88.454155,3612.878234660864
32,93973,36.439074,2985.5957159220707
33,183014,73.800561,2533.934390733506
34,165201,74.831621,2254.382782698272
35,4774,2.169471,289.04664966207474
36,21307,9.107178,1025.358871621013
37,182957,74.137778,2838.766317645858
38,54808,48.252249,1962.4141352687489
39,100745,37.212726,3428.665529660556
40,214811,86.090663,2737.1363274896494
41,225121,92.794315,3426.677895417543
42,89735,35.412544,2418.0537107367886
43,3790,1.362244,279.7884437775811
44,84172,38.623338,1119.1474966316043
45,110385,46.198948,1459.869281764322
46,231601,93.112652,3008.5652366727863
47,14022,5.399613,714.8482429025473
48,60432,24.045554,1584.1301657707868
49,202934,84.052898,2417.658592369918
50,204710,82.573951,3862.449771620199
51,111993,44.672494,2658.265821006441
52,31032,12.960764,673.0189917155433
53,2459,0.931692,157.06379826262864
54,230874,96.662116,3474.730988257651
55,202103,84.02811,3343.2972944645394
56,50857,20.562215,1307.3324887972014
57,226104,91.930324,3917.6205249999502
58,66613,28.141053,865.0216716567523
59,123195,50.540909,1707.8940435016957
60,204539,84.246803,3029.908237858864
61,566,0.211746,74.23733182756992
62,216829,85.963752,3021.328710202232
63,202182,81.166421,2236.8031885669
64,13089,4.933982,517.8767585540339
65,54553,21.779736,1229.922532843848
66,11150,4.163147,617.297682045428
67,187672,77.141961,2537.640956672797
68,41574,17.70246,644.7029968872941
69,121031,47.657033,3580.8399626587675
70,29414,11.761744,851.4949709645675
71,194982,78.345982,2745.7019618730656
72,113644,45.416603,1590.4153261861256
73,179882,90.883812,2781.6100711686468
74,230720,97.4736,3884.249918343433
75,145415,60.821397,1498.9895820040815
76,190467,78.288708,2277.789757355604
77,215838,87.192569,2648.8685639129453
78,110980,43.480891,2614.94232623162
79,127173,54.287529,1342.0169832637828
80,211779,85.023526,2510.3336573031224
81,219604,89.374819,3046.602853399428
82,47740,19.580576,784.8630069463181
83,31726,11.618549,2128.9411165586325
84,23378,9.099728,1062.7274140121183
85,144305,58.20823,3299.249810829865
86,209452,121.060589,2801.247496970759
87,15291,9.610668,762.2854526067481
88,7327,4.604233,380.2586539875413
89,136850,56.859757,1519.503906117341
90,154353,66.223089,2288.580219576472
91,141753,84.948429,1873.170099368449
92,196171,78.818087,2798.362993791241
93,160853,65.787519,1464.989837682591
94,39,0.013923,15.94427190999916
95,91663,37.990203,1554.862039024561
96,121433,50.886297,1647.6066346531156
97,220962,87.471463,3233.358442647558
98,226583,89.277749,3208.984773941364
99,256147,102.616818,3657.182407253398
100,185994,75.223262,2675.605105670188
101,31640,12.62744,812.2162923127524
102,187903,74.905215,2467.87161411017
103,164909,67.466487,2960.9061188204737
104,137458,54.989626,2670.721481581124
105,41259,15.73587,1897.8637406613611
106,38363,14.723992,1813.8983754325295
107,128733,52.486033,3031.8191599501274
108,222068,109.122351,3015.678612308455
109,132347,53.074349,2093.82338227384
110,163224,72.27409,2498.245270368148
111,122355,49.024347,1780.3180741870897
112,55943,22.344865,1024.8560154865638
113,126897,49.371002,3859.650614680212
114,57153,22.604369,1313.7999939017636
115,242729,95.301361,3146.014964933079
116,63223,24.806358,2109.87437786949
117,26504,10.072386,1286.5777388115926
118,131421,56.196795,2249.224303580917
119,4354,1.950087,243.13743568062628
120,95549,39.522279,1760.922478109947
121,113247,61.19812,2604.089936080483
122,216698,121.400126,3920.738202364712
123,80230,31.152905,2100.2981701854687
124,91981,36.315971,2140.0019531513635
125,241667,95.214466,3663.1646448436686
126,253794,102.360498,3615.088728630749
127,28571,11.136783,835.9226265183204
128,107716,43.123018,2743.131077043592
129,2722,1.033458,196.3656228142332
130,53178,22.669398,687.9038576880855
131,210878,85.979008,2781.790779192948
132,220910,89.10241,3243.6707252981223
133,122200,50.183515,1835.6347973536388
134,26511,10.618725,553.4350989391073
135,149759,61.316757,2435.534826369272
136,17882,6.846142,553.0412386100436
137,170804,69.192109,2904.7829039719604
138,109537,52.387555,2535.100011012913
139,970,0.577789,87.39545911501573
140,47639,21.440161,798.2123059026998
141,139519,57.0622,2253.682455828212
142,252915,101.532774,3635.946203939935
143,43571,17.951412,850.5446079167737
144,11540,4.537139,410.3784772085321
145,174496,81.624276,2583.064592696455
146,117122,65.407607,1457.6897189353144
147,71931,28.685653,1869.3919063346807
148,203781,84.175229,3446.4922959595474
149,231415,96.49519,3828.951930482767
150,184881,73.731516,2209.4735444523444
151,254363,106.471027,3625.695679322481
152,8609,3.56236,439.1714041772792
153,169575,69.256343,1815.896541941992
154,257812,154.839721,3749.943782537191
155,142841,60.076034,2949.771552431273
156,141727,60.043682,2089.8870009511093
157,82349,33.116757,1738.3128461425374
158,225585,94.099721,3474.3404269799503
159,72059,27.617859,2721.291604465204
160,232879,91.835378,3001.4458557099856
161,4568,1.712075,198.28547464040903
162,115497,45.563375,3438.594005552667
163,7067,2.736796,377.28162120298697
164,60967,24.483124,1293.359946965864
165,242165,98.726444,3502.043573664468
166,213118,87.449121,3777.2561880412536
167,150002,141.805402,1592.8440976096665
168,70214,29.359709,1237.6543432973538
169,7522,2.803914,494.91857872346833
170,144155,58.811851,2389.0831353736858
171,26674,10.858479,542.3745320049181
172,227720,116.023171,3502.677901438009
173,191210,77.16771,3930.550840770612
174,8042,2.935257,550.0010885207914
175,226059,90.112065,2452.6253181176817
176,32908,12.802029,934.6914729821992
177,219575,87.682612,3843.595303521112
178,67458,26.748112,1654.02356612117
179,1839,0.697603,168.587611185987
180,5072,1.918735,262.8994325640362
181,75404,30.25108,1781.112296181508
182,8394,3.279582,311.5880815190188
183,106620,42.420325,1627.6413790623997
184,119096,47.865265,1989.213938931992
185,173273,79.829445,2079.0015150200384
186,195156,81.209499,2383.7031394455635
187,33968,13.8256,812.2574073050794
188,32284,13.727136,1358.0712017360283
189,122062,67.546347,2946.0013355345327
190,143192,66.546944,2280.9068503705057
191,215266,96.688407,3137.179832132414
192,207900,86.932425,3759.162927523745
193,52263,20.919714,997.9280326138816
194,57272,22.816498,942.905346022378
195,68175,28.181261,967.6305457050984
196,6960,2.576996,435.3403491840954
197,226151,89.822732,3393.353011404364
198,183458,74.977679,2123.198211795653
199,173407,71.22385,3423.1243155165093
